S_S5_Ea_103_v1v9_504	4.1.99.12
S_S5_Ea_103_v1v9_505	3.5.4.25
S_S5_Ea_103_v1v9_506	2.5.1.78
S_S5_Ea_103_v1v9_507	2.1.1.192
S_S5_Ea_103_v1v9_508	3.2.2.20
S_S5_Ea_103_v1v9_509	3.2.2.20
S_S5_Ea_103_v1v9_510	2.3.1.57
S_S5_Ea_103_v1v9_511	2.3.1.57
S_S5_Ea_103_v1v9_512	2.1.1.190
S_S5_Ea_103_v1v9_513	2.1.1.190
S_S5_Ea_103_v1v9_514	2.5.1.9
S_S5_Ea_103_v1v9_515	6.1.1.15
S_S5_Ea_103_v1v9_516	2.1.1.297
S_S5_Ea_103_v1v9_517	5.1.1.7
S_S5_Ea_103_v1v9_518	4.3.2.1
S_S5_Ea_103_v1v9_519	3.1.21.2
S_S5_Ea_103_v1v9_520	6.1.1.16
S_S5_Ea_103_v1v9_521	3.4.21.102
S_S5_Ea_103_v1v9_522	2.6.1.17
S_S5_Ea_103_v1v9_523	2.6.1.11
S_S5_Ea_103_v1v9_524	2.7.7.41
S_S5_Ea_103_v1v9_525	2.3.1.12
S_S5_Ea_103_v1v9_526	2.3.1.12
S_S5_Ea_103_v1v9_527	2.1.1.107
S_S5_Ea_103_v1v9_528	2.1.1.107
S_S5_Ea_103_v1v9_529	2.7.8.5
S_S5_Ea_103_v1v9_530	2.7.8.5
S_S5_Ea_103_v1v9_531	6.5.1.2
S_S5_Ea_103_v1v9_532	4.2.1.51
S_S5_Ea_103_v1v9_533	2.3.3.1
S_S5_Ea_103_v1v9_534	2.1.1.207
S_S5_Ea_103_v1v9_535	2.5.1.19
S_S5_Ea_103_v1v9_536	2.7.4.6
S_S5_Ea_103_v1v9_537	4.1.2.48
S_S5_Ea_103_v1v9_538	1.1.1.86
