Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
pyrethrin I biosynthesis	PWY-6926	pyrethrin I biosynthesis	pyrethrin I synthase // chrysanthemyl diphosphate synthase // <i>trans</i>-chrysanthemol dehydrogenase // <i>trans</i>-chrysanthemal dehydrogenase	(R,R)-chrysanthemal + NAD(P)+ + H2O  ->  (R,R)-chrysanthemate + NAD(P)H + 2 H+ // (R,R)-chrysanthemol + NAD+  ->  (R,R)-chrysanthemal + NADH + H+ // (R,R)-chrysanthemyl diphosphate + H2O  ->  (R,R)-chrysanthemol + diphosphate // (S)-pyrethrolone + (R,R)-chrysanthemoyl CoA  ->  pyrethrin I + coenzyme A // (9S,13S,15Z)-12-oxophyto-10,15-dienoate  ->  (S)-pyrethrolone // (R,R)-chrysanthemate + coenzyme A + ATP  ->  (R,R)-chrysanthemoyl CoA + AMP + diphosphate // 2 prenyl diphosphate  ->  (R,R)-chrysanthemyl diphosphate + diphosphate	Secondary Metabolite Biosynthesis		Tanacetum cinerariifolium	asterids
pyoverdine I biosynthesis	PWY-6409	pyoverdine I biosynthesis	ferribactin synthase complex // L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase monomer // hydroxy-L-ornithine formylase // L-ornithine 5-monooxygenase // ferribactin monooxygenase // dihydropyoverdine dehydrogenase // myristoylated ferribactin deacylase // ABC-type myristoylated ferribactin transporter // pyoverdin I decarboxylase // pyoverdine aminotransferase	glutamate-pyoverdine I + 2-oxoglutarate  <-->  2-oxoglutarate-pyoverdine I + L-glutamate // succinamide-pyoverdine I + H2O  ->  succinate-pyoverdine I + ammonium // glutamate-pyoverdine I + dioxygen  ->  succinamide-pyoverdine I + CO2 + H2O // myristoylated ferribactin[cytosol] + ATP + H2O  ->  myristoylated ferribactin[periplasm] + ADP + phosphate + H+ // myristoylated ferribactin + H2O  ->  ferribactin + tetradecanoate // dihydropyoverdine I + oxidized electron carrier  ->  glutamate-pyoverdine I + reduced two electron carrier // ferribactin + dioxygen + H+  ->  dihydropyoverdine I + H2O // L-ornithine + NADPH + dioxygen  ->  N5-hydroxy-L-ornithine + NADP+ + H2O // N5-hydroxy-L-ornithine + an N10-formyltetrahydrofolate  ->  N5-formyl-N5-hydroxy-L-ornithine + a tetrahydrofolate // L-2,4-diaminobutanoate + 2-oxoglutarate  <-->  L-aspartate 4-semialdehyde + L-glutamate // L-glutamate + L-tyrosine + L-2,4-diaminobutanoate + 2 L-serine + L-arginine + 2 N5-formyl-N5-hydroxy-L-ornithine + L-lysine + 2 L-threonine + myristoyl-CoA + 11 ATP  ->  myristoylated ferribactin + coenzyme A + 11 AMP + 11 diphosphate + H2O + 13 H+	Secondary Metabolite Biosynthesis		Pseudomonas aeruginosa	Pseudomonas
pyoluteorin biosynthesis	PWY-7930	pyoluteorin biosynthesis	L-prolyl-[peptidyl-carrier protein] dehydrogenase // <i>S</i>-[PltL peptidyl-carrier protein] thioesterase // L-proline--[PltL peptidyl-carrier protein] ligase // pyrrolyl-2-carboxyl-S-[peptidyl-carrier protein] chlorinase // pyoluteorin polyketide synthase	4,5-dichloro-1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + 3 malonyl-CoA + NADPH + 4 H+  ->  a 7-(4,5-dichloro-1H-pyrrol-2-yl)-3-hydroxy-5,7-dioxoheptanoyl-[PltL prolyl-carrier protein] + 3 coenzyme A + 3 CO2 + NADP+ // a 5-chloro-1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + chloride + FADH2 + dioxygen  ->  4,5-dichloro-1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + FAD + 2 H2O // 1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + chloride + FADH2 + dioxygen  ->  a 5-chloro-1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + FAD + 2 H2O // (L-prolyl)adenylate + holo-[PltL prolyl-carrier protein]  ->  L-prolyl-[PltL prolyl-carrier protein] + AMP + H+ // L-proline + ATP + H+  ->  (L-prolyl)adenylate + diphosphate // a 7-(4,5-dichloro-1H-pyrrol-2-yl)-3-hydroxy-5,7-dioxoheptanoyl-[PltL prolyl-carrier protein]  ->  pyoluteorin + holo-[PltL prolyl-carrier protein] + H2O // L-prolyl-[PltL prolyl-carrier protein] + 2 oxidized electron-transfer flavoprotein + H+  ->  1H-pyrrole-2-carbonyl-[PltL prolyl-carrier protein] + 2 reduced electron-transfer flavoprotein	Aromatic Compound Biosynthesis		Pseudomonas protegens	Bacteria <bacteria>
pyocyanin biosynthesis	PWY-6666	pyocyanin biosynthesis	5-methyl-phenazine-1-carboxylate <i>N</i>-methyltransferase // 5-methylphenazine-1-carboxylate 1-monooxygenase	5-methylphenazine-1-carboxylate + NADH + dioxygen + H+  ->  oxidized pyocyanin + CO2 + NAD+ + H2O // phenazine-1-carboxylate + S-adenosyl-L-methionine  ->  5-methylphenazine-1-carboxylate + S-adenosyl-L-homocysteine	Secondary Metabolite Biosynthesis		Pseudomonas aeruginosa	Bacteria <bacteria>
pyochelin biosynthesis	PWY-6408	pyochelin biosynthesis	hydroxyphenyl-4,2-bis-thiazoline reductase // non-ribosomal peptide synthase PchF // salicylate--[salicyl-carrier protein] ligase // non-ribosomal peptide synthase PchE	salicyl-[PchE non-ribosomal peptide synthase] + L-cysteinyl-[PchE non-ribosomal peptide synthase]  ->  salicyl-L-cysteinyl-[PchE non-ribosomal peptide synthas] + [PchE non-ribosomal peptide synthase] + H+ // (salicyl)adenylate + [PchE non-ribosomal peptide synthase]  ->  salicyl-[PchE non-ribosomal peptide synthase] + AMP + H+ // (L-cysteinyl)adenylate + [PchE non-ribosomal peptide synthase]  ->  L-cysteinyl-[PchE non-ribosomal peptide synthase] + AMP + H+ // L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate // (L-cysteinyl)adenylate + a [PchF non-ribosomal peptide synthase]  ->  L-cysteinyl-[PchF non-ribosomal peptide synthase] + AMP + H+ // salicyl-L-cysteinyl-[PchE non-ribosomal peptide synthas]  ->  (4'R)-hydroxyphenyl-thiazolinyl-[PchE non-ribosomal peptide synthase] + H2O // L-cysteinyl-[PchF non-ribosomal peptide synthase] + (4'R)-hydroxyphenyl-thiazolinyl-[PchE non-ribosomal peptide synthase]  ->  (4'R,4''R)-hydroxyphenyl-4,2-bis-thiazolinyl-[PchF non-ribosomal peptide synthase] + [PchE non-ribosomal peptide synthase] + H2O + H+ // (4'R,4''R)-hydroxyphenyl-4,2-bis-thiazolinyl-[PchF non-ribosomal peptide synthase] + NADPH + H+  ->  N-demethyl-pyochelin-[PchF non-ribosomal peptide synthase] + NADP+ // N-demethyl-pyochelin-[PchF non-ribosomal peptide synthase] + S-adenosyl-L-methionine  ->  pyochelinyl-[PchF non-ribosomal peptide synthase] + S-adenosyl-L-homocysteine + H+ // pyochelinyl-[PchF non-ribosomal peptide synthase] + H2O  ->  pyochelin + a [PchF non-ribosomal peptide synthase] + H+ // salicylate + ATP + H+  ->  (salicyl)adenylate + diphosphate	Secondary Metabolite Biosynthesis		Burkholderia cepacia // Pseudomonas aeruginosa // Pseudomonas fluorescens // Streptomyces scabiei	Bacteria <bacteria>
putrescine degradation V	PWY-3	putrescine degradation V	4-guanidinobutyraldehyde dehydrogenase / 4-aminobutyraldehyde dehydrogenase // aminobutyraldehyde dehydrogenase subunit // putrescine--pyruvate aminotransferase // polyamine aminotransferase subunit	putrescine + pyruvate  <-->  4-aminobutanal + L-alanine // 4-aminobutanal + NAD+ + H2O  ->  4-aminobutanoate + NADH + 2 H+	Amide, Amidine, Amine, and Polyamine Degradation		Pseudomonas aeruginosa // Arthrobacter sp.	Bacteria <bacteria>
putrescine degradation IV	PWY-2	putrescine degradation IV	copper-containing amine oxidase // putrescine oxidase subunit // copper-containing amine oxidase // betaine aldehyde / aminoaldehyde dehydrogenase	4-aminobutanal  <-->  1-pyrroline + H2O // 4-aminobutanal + NAD+ + H2O  ->  4-aminobutanoate + NADH + 2 H+ // putrescine + dioxygen + H2O  ->  ammonium + hydrogen peroxide + 4-aminobutanal	Amide, Amidine, Amine, and Polyamine Degradation		Kocuria rosea // Pisum sativum // Arabidopsis thaliana	Viridiplantae // Actinomycetota
putrescine degradation III	PWY-0	putrescine degradation III	putrescine acetyltransferase // monoamine oxidase B // mitochondrial aldehyde dehydrogenase // fatty aldehyde dehydrogenase	4-acetamidobutanoate + H2O  ->  4-aminobutanoate + acetate // 4-acetamidobutanal + NAD+ + H2O  ->  4-acetamidobutanoate + NADH + 2 H+ // N-acetylputrescine + H2O + dioxygen  ->  4-acetamidobutanal + ammonium + hydrogen peroxide // acetyl-CoA + putrescine  ->  N-acetylputrescine + coenzyme A + H+	Amide, Amidine, Amine, and Polyamine Degradation		Homo sapiens // Mammalia // Mus musculus // Rattus norvegicus	Mammalia
putrescine degradation II	PWY0-1221	putrescine degradation II	gamma-glutamyl-gamma-aminobutyrate hydrolase // &gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase // &gamma;-glutamylputrescine oxidase // glutamate-putrescine ligase	putrescine + L-glutamate + ATP  ->  gamma-glutamyl-L-putrescine + ADP + phosphate + H+ // gamma-glutamyl-L-putrescine + H2O + dioxygen  ->  4-(gamma-L-glutamylamino)butanal + hydrogen peroxide + ammonium // 4-(gamma-L-glutamylamino)butanal + NAD(P)+ + H2O  ->  4-(gamma-L-glutamylamino)butanoate + NAD(P)H + 2 H+ // 4-(gamma-L-glutamylamino)butanoate + H2O  ->  L-glutamate + 4-aminobutanoate	Amide, Amidine, Amine, and Polyamine Degradation		Escherichia coli	Bacteria <bacteria>
putrescine degradation I	PUTDEG-PWY	putrescine degradation I // putrescine degradation	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase // &gamma;-aminobutyraldehyde dehydrogenase // putrescine aminotransferase	putrescine + 2-oxoglutarate  <-->  4-aminobutanal + L-glutamate // 4-aminobutanal + NAD+ + H2O  ->  4-aminobutanoate + NADH + 2 H+	Amide, Amidine, Amine, and Polyamine Degradation		Escherichia coli // Klebsiella aerogenes	Bacteria <bacteria>
putrescine biosynthesis III	PWY-46	putrescine biosynthesis III // ODC pathway	ornithine decarboxylase subunit // ornithine decarboxylase subunit // ornithine decarboxylase // constitutive ornithine decarboxylase // arginase 1 // arginase 2 // arginase subunit // arginase	L-arginine + H2O  <-->  urea + L-ornithine // L-ornithine + H+  ->  putrescine + CO2	Amide, Amidine, Amine, and Polyamine Biosynthesis		Escherichia coli // Homo sapiens // Nicotiana tabacum // Pseudomonas aeruginosa // Saccharomyces cerevisiae // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
putrescine biosynthesis II	PWY-43	putrescine biosynthesis II	arginine decarboxylase, biosynthetic // arginine decarboxylase (biosynthetic) // agmatine iminohydrolase // agmatine deiminase subunit // agmatine deaminase // At2g27450-monomer // N-carbamoylputrascine amidohydrolase subunit // N-carbamoylputrescine amidohydrolase	N-carbamoylputrescine + 2 H+ + H2O  ->  putrescine + CO2 + ammonium // agmatine + H2O  ->  N-carbamoylputrescine + ammonium // L-arginine + H+  ->  agmatine + CO2	Amide, Amidine, Amine, and Polyamine Biosynthesis		Aeromonas caviae // Campylobacter jejuni // Pseudomonas aeruginosa // Arabidopsis thaliana	Campylobacterota // Viridiplantae // Bacillota // Pseudomonadota
putrescine biosynthesis I	PWY-40	putrescine biosynthesis I	arginine decarboxylase // arginine decarboxylase // biosynthetic arginine decarboxylase // SpeB // agmatinase // agmatinase	agmatine + H2O  ->  putrescine + urea // L-arginine + H+  ->  agmatine + CO2	Amide, Amidine, Amine, and Polyamine Biosynthesis		Homo sapiens // Bacillus subtilis // Escherichia coli // Mycolicibacterium phlei // Mycolicibacterium smegmatis	Vertebrata <vertebrates> // Bacteria <bacteria>
putrebactin biosynthesis	PWY-6378	putrebactin biosynthesis	putrebactin synthase // avaroferrin synthase // N=hydroxyputrescine succinyltransferase // <i>N</i>-hydroxycadaverine succinyltransferase // putrescine <i>N</i>-hydroxylase // putrescine <i>N</i>-hydroxylase // putrescine/cadaverine <i>N</i>-hydroxylase	putrescine + NADPH + dioxygen  ->  N-hydroxyputrescine + NADP+ + H2O // N-hydroxyputrescine + succinyl-CoA  ->  N1-hydroxy-N1-succinyl-putrescine + coenzyme A // 2 N1-hydroxy-N1-succinyl-putrescine + ATP  ->  pre-putrebactin + AMP + diphosphate + H+ // pre-putrebactin + ATP  ->  putrebactin + AMP + diphosphate + H+	Secondary Metabolite Biosynthesis		Shewanella algae // Shewanella oneidensis // Shewanella putrefaciens // Shewanella sp. MR-4 // Shewanella sp. MR-7	Shewanella
puromycin biosynthesis	PWY-5929	puromycin biosynthesis	NAD-dependent ATP dehydrogenase // 3'-amino-3'-deoxyATP pyrophosphohydrolase // 3'-amino-3'-deoxyAMP monophosphatase // N6,N6,O-tridemethylpuromycin synthetase // N6,N6,O-tridemethylpuromycin N-acetyltransferase // puromycin <i>N</i>-methyltransferase // N-acetyl-O-demethylpuromycin O-methyltransferase // N-acetylpuromycin N-acetylhydrolase	N-acetylpuromycin + H2O  ->  puromycin + acetate // N-acetyl-O-demethylpuromycin + S-adenosyl-L-methionine  ->  N-acetylpuromycin + S-adenosyl-L-homocysteine + H+ // N-acetyl-N6,O-didemethylpuromycin + S-adenosyl-L-methionine  ->  N-acetyl-O-demethylpuromycin + S-adenosyl-L-homocysteine + H+ // N-acetyl-N6,N6,O-tridemethylpuromycin + S-adenosyl-L-methionine  ->  N-acetyl-N6,O-didemethylpuromycin + S-adenosyl-L-homocysteine + H+ // acetyl-CoA + N6,N6,O-tridemethylpuromycin  ->  N-acetyl-N6,N6,O-tridemethylpuromycin + coenzyme A + H+ // 3'-amino-3'-deoxyadenosine + L-tyrosine  ->  N6,N6,O-tridemethylpuromycin + H2O // 3'-amino-3'-deoxy-AMP + H2O  ->  3'-amino-3'-deoxyadenosine + phosphate // 3'-amino-3'-deoxyATP + H2O  ->  3'-amino-3'-deoxy-AMP + diphosphate + H+ // 3'-dehydro-ATP  ->  3'-amino-3'-deoxyATP // ATP + NAD+  ->  3'-dehydro-ATP + NADH + H+	Secondary Metabolite Biosynthesis		Streptomyces alboniger	Actinomycetota
purine ribonucleosides degradation	PWY0-1296	purine ribonucleosides degradation	adenosine deaminase // adenosine deaminase // purine nucleoside phosphorylase YfiH // purine nucleoside phosphorylase // purine nucleoside phosphorylase // xanthosine phosphorylase // nucleoside phosphorylase PpnP // phosphoglucomutase-2 // phosphopentomutase	alpha-D-ribose-1-phosphate  <-->  D-ribose 5-phosphate // guanosine + phosphate  <-->  guanine + alpha-D-ribose-1-phosphate // inosine + phosphate  <-->  hypoxanthine + alpha-D-ribose-1-phosphate // adenosine + H2O + H+  ->  inosine + ammonium // adenosine + phosphate  <-->  adenine + alpha-D-ribose-1-phosphate // xanthosine + phosphate  <-->  xanthine + alpha-D-ribose-1-phosphate	Nucleoside and Nucleotide Degradation		Escherichia coli // Homo sapiens // Mycoplasmoides pneumoniae	Archaea // Opisthokonta // Bacteria <bacteria>
purine nucleotides degradation II (aerobic)	PWY-6353	purine nucleotides degradation II (aerobic) // purine nucleotides catabolism	adenosine deaminase // purine nucleoside phosphorylase YfiH // adenosine deaminase // cytosolic 5'-nucleotidase 1A // alkaline phosphatase // guanine deaminase // guanine deaminase // purine nucleotidase // guanosine phosphorylase // inosine-5'-monophosphate dehydrogenase 1 // inosine-5'-monophosphate dehydrogenase 2 // inosine 5'-monophosphate dehydrogenase // acid phosphatase / phosphotransferase // broad specificity 5'(3')-nucleotidase and polyphosphatase // UMP phosphatase // 5'-nucleotidase / UDP-sugar hydrolase // 5'-nucleotidase // cytosolic 5'-nucleotidase II // purine nucleoside phosphorylase // purine nucleoside phosphorylase // xanthosine phosphorylase // nucleoside phosphorylase PpnP // xanthine oxidoreductase // xanthine oxidase // xanthine dehydrogenase // putative xanthine dehydrogenase	xanthosine + phosphate  <-->  xanthine + alpha-D-ribose-1-phosphate // XMP + H2O  ->  xanthosine + phosphate // IMP + NAD+ + H2O  <-->  XMP + NADH + H+ // guanosine + phosphate  <-->  guanine + alpha-D-ribose-1-phosphate // GMP + H2O  ->  guanosine + phosphate // guanine + H+ + H2O  ->  xanthine + ammonium // AMP + H2O  ->  adenosine + phosphate // hypoxanthine + NAD+ + H2O  ->  xanthine + NADH + H+ // xanthine + NAD+ + H2O  <-->  urate + NADH + H+ // adenosine + H2O + H+  ->  inosine + ammonium // inosine + phosphate  <-->  hypoxanthine + alpha-D-ribose-1-phosphate	Nucleoside and Nucleotide Degradation // Superpathways		Bos taurus // Escherichia coli // Gallus gallus // Homo sapiens // Mus musculus // Oryctolagus cuniculus // Rattus norvegicus	Opisthokonta // Archaea // Bacteria <bacteria>
purine nucleotides degradation I (plants)	PWY-5044	purine nucleotides degradation I (plants) // purine nucleotide catabolism (aerobic)	AMP deaminase // IMP dehydrogenase // ribonucleoside hydrolase // guanosine deaminase // guanine deaminase // 5'-nucleotidase // purine nucleosidase // xanthine dehydrogenase // xanthine dehydrogenase	guanosine hydrolase // guanine + H+ + H2O  ->  xanthine + ammonium // guanosine + H+ + H2O  ->  ammonium + xanthosine // GMP + H2O  ->  guanosine + phosphate // hypoxanthine + NAD+ + H2O  ->  xanthine + NADH + H+ // xanthine + NAD+ + H2O  <-->  urate + NADH + H+ // xanthosine + H2O  ->  xanthine + D-ribofuranose // inosine + H2O  ->  D-ribofuranose + hypoxanthine // IMP + H2O  ->  inosine + phosphate // XMP + H2O  ->  xanthosine + phosphate // IMP + NAD+ + H2O  <-->  XMP + NADH + H+ // AMP + H2O + H+  ->  IMP + ammonium	Nucleoside and Nucleotide Degradation // Superpathways		Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
purine nucleobases degradation II (anaerobic)	PWY-5497	purine nucleobases degradation II (anaerobic) // purine fermentation	guanine deaminase // xanthine amidohydrolase // 4-ureido-5-imidazolecarboxylate amidohydrolase // 4-aminoimidazolecarboxylate decarboxylase // 4-aminoimidazole deaminase // 4-imidazolonase // glycine formimidoyltransferase subunit // formimidoyltetrahydrofolate cyclodeaminase // NAD-dependent formate dehydrogenase subunit // pyruvate-ferredoxin oxidoreductase // phosphotransacetylase // acetate kinase // xanthine dehydrogenase // L-serine ammonia-lyase // methenyltetrahydrofolate cyclohydrolase // methylenetetrahydrofolate dehydrogenase subunit // serine hydroxymethyltransferase	glycine + a 5,10-methylenetetrahydrofolate + H2O  <-->  L-serine + a tetrahydrofolate // a 5,10-methylenetetrahydrofolate + NADP+  <-->  a 5,10-methenyltetrahydrofolate + NADPH // a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+ // an N10-formyltetrahydrofolate + H2O  ->  a tetrahydrofolate + formate + H+ // 2-iminopropanoate + H2O  ->  pyruvate + ammonium // 2-aminoprop-2-enoate  ->  2-iminopropanoate // L-serine  ->  2-aminoprop-2-enoate + H2O // purine + NAD+ + H2O  ->  8-hydroxypurine + NADH + H+ // 8-hydroxypurine + NAD+ + H2O  ->  6,8-dihydroxypurine + NADH + H+ // hypoxanthine + NAD+ + H2O  <-->  6,8-dihydroxypurine + NADH + H+ // 6,8-dihydroxypurine + NAD+ + H2O  ->  urate + NADH + H+ // ATP + acetate  <-->  ADP + acetyl phosphate // acetyl-CoA + phosphate  <-->  acetyl phosphate + coenzyme A // pyruvate + coenzyme A + 2 oxidized ferredoxin [iron-sulfur] cluster  <-->  acetyl-CoA + CO2 + 2 reduced ferredoxin [iron-sulfur] cluster + H+ // xanthine + NAD+ + H2O  <-->  urate + NADH + H+ // formate + NAD+  <-->  CO2 + NADH // 5-formimidoyltetrahydrofolate + 2 H+  <-->  ammonium + a 5,10-methenyltetrahydrofolate // 5-formimidoyltetrahydrofolate + glycine  <-->  N-formimino-glycine + a tetrahydrofolate // 3,5-dihydro-4H-imidazol-4-one + H2O  ->  N-formimino-glycine // 4-aminoimidazole + H2O + H+  ->  ammonium + 3,5-dihydro-4H-imidazol-4-one // 5-aminoimidazole-4-carboxylate  ->  4-aminoimidazole + CO2 // 5-ureidoimidazole-4-carboxylate + H2O + 2 H+  ->  5-aminoimidazole-4-carboxylate + CO2 + ammonium // xanthine + H2O  ->  5-ureidoimidazole-4-carboxylate + H+ // guanine + H+ + H2O  ->  xanthine + ammonium	Nucleoside and Nucleotide Degradation // Generation of Precursor Metabolites and Energy		Clostridium // Gottschalkia acidurici // Clostridium cylindrosporum	Bacillota
purine nucleobases degradation I (anaerobic)	P164-PWY	purine nucleobases degradation I (anaerobic) // purine fermentation	guanine deaminase // xanthine amidohydrolase // 4-ureido-5-imidazolecarboxylate amidohydrolase // 4-aminoimidazolecarboxylate decarboxylase // 4-aminoimidazole deaminase // 4-imidazolonase // glycine formimidoyltransferase subunit // formimidoyltetrahydrofolate cyclodeaminase // NAD-dependent formate dehydrogenase subunit // glycine reductase system // acetate kinase // methenyltetrahydrofolate cyclohydrolase // purine hydroxylase	hypoxanthine + oxidized electron carrier + H2O  ->  xanthine + reduced two electron carrier // a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+ // an N10-formyltetrahydrofolate + H2O  ->  a tetrahydrofolate + formate + H+ // ATP + acetate  <-->  ADP + acetyl phosphate // acetyl phosphate + ammonium + oxidized thioredoxin + H2O  <-  glycine + reduced thioredoxin + phosphate + H+ // purine + oxidized electron carrier + H2O  ->  hypoxanthine + reduced two electron carrier // formate + NAD+  <-->  CO2 + NADH // 5-formimidoyltetrahydrofolate + 2 H+  <-->  ammonium + a 5,10-methenyltetrahydrofolate // 5-formimidoyltetrahydrofolate + glycine  <-->  N-formimino-glycine + a tetrahydrofolate // 3,5-dihydro-4H-imidazol-4-one + H2O  ->  N-formimino-glycine // 4-aminoimidazole + H2O + H+  ->  ammonium + 3,5-dihydro-4H-imidazol-4-one // 5-aminoimidazole-4-carboxylate  ->  4-aminoimidazole + CO2 // 5-ureidoimidazole-4-carboxylate + H2O + 2 H+  ->  5-aminoimidazole-4-carboxylate + CO2 + ammonium // xanthine + H2O  ->  5-ureidoimidazole-4-carboxylate + H+ // guanine + H+ + H2O  ->  xanthine + ammonium	Nucleoside and Nucleotide Degradation // Generation of Precursor Metabolites and Energy		Clostridium // Gottschalkia acidurici // Clostridium cylindrosporum // Gottschalkia purinilytica	Bacillota
