Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
MONOMER-17808		sterol C-5 desaturase	RXN-13883 // RXN-13892 // RXN3O-218	EC-1.14.19.20
MONOMER-19282		5-hydroxyanthrotainin geranyltransferase	RXN-16582	EC-2.5.1
NACMURLALAAMI1-MONOMER	GO:0043093 // GO:0071555 // GO:0009253 // GO:0071236 // GO:0051301	<i>N</i>-acetylmuramoyl-L-alanine amidase A // YfeE // AmiA	RXN-16938	EC-3.5.1.28
MONOMER-17512		D-galactosamine-6-phosphate deaminase/isomerase // AgaS	RXN-13548	EC-3.5.99
MONOMER-17618		phenylalanine aminomutase [(<i>S</i>)-&beta;-phenylalanine-forming] // AdmH	RXN-13649	EC-5.4.3.11
MONOMER-19515		UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-idopyranose C2-epimerase	RXN-17080	EC-5.1.3
YDR226W-MONOMER		adenylate kinase 1	DEOXYADENYLATE-KINASE-RXN // ADENYL-KIN-RXN	EC-2.7.4.13 // EC-2.7.4.11 // EC-2.7.4.3
HS07962-MONOMER		protein kinase C, alpha type // PKC-ALPHA // PKC-A // protein kinase C, alpha // Protein kinase C, alpha polypeptide	RXN-24864 // 2.7.1.109-RXN // RXN-22580 // 2.7.11.25-RXN // 2.7.12.2-RXN // RXN66-685 // RXN-24100 // 2.7.12.1-RXN // RXN-14906 // 2.7.11.2-RXN // 2.7.11.18-RXN // 2.7.11.30-RXN // 2.7.11.27-RXN // RXN-24988	EC-2.7.11 // EC-2.7.11.31 // EC-2.7.11.25 // EC-2.7.12.2 // EC-2.7.11.36 // EC-2.7.11.35 // EC-2.7.11.2 // EC-2.7.11.18 // EC-2.7.11.30 // EC-2.7.11.13
CPLX-7713		chlorocatechol 1,2-dioxygenase	RXN-10098 // RXN-10097 // RXN-10096 // RXN-9884 // RXN-9902	EC-1.13.11 // EC-1.13.11.M6
CPLX-7845		type I iododthyronine deiodinase // type I iododthyronine selenodeiodinase // D1 // deiodinase, iodothyronine, type I // type-I 5'-deiodinase // type 1 DI // DIOI	RXN-12037 // 1.97.1.11-RXN // RXN-10604 // THYROXINE-DEIODINASE-RXN	EC-1.21.99.4 // EC-1.21.99.3
MONOMER-8142		lysine <i>N</i><sup>6</sup>-acetyltransferase	LYSACET-RXN	EC-2.3.1.306
MONOMER-125017		S-alkyl-thiohydroximate lyase SUR1	RXN-25339	EC-4.4.1
MONOMER-17443		pyrethrin I synthase	RXN-13467 // RXN-12678	
CPLX-3402		&beta;-alanine transaminase	2.6.1.18-RXN	EC-2.6.1.18
MONOMER-125099		chrysophanol monooxygenase/dioxygenase	RXN-25533	EC-1.13.11
MONOMER-19517		diacetamido-8-epilegionaminic acid synthase	RXN-17078	EC-2.5.1
MONOMER-873		pyruvate, phosphate dikinase // Pdk1 // pyruvate orthophosphate dikinase	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1
CPLX-7976		pyochelin synthase complex	RXN-19470 // RXN-11113 // RXN-19466 // RXN-19469 // RXN-19465 // RXN-11115 // RXN-11125 // RXN-11118 // RXN-11123 // RXN-11122 // RXN-11120 // RXN-11117 // RXN-11121 // RXN-11114	EC-6.2.1.61 // EC-6.2.1.69
MONOMER-21040		[methyl-Co(III) quarternary-amine-specific corrinoid protein]:tetrahydrofolate methyltransferase // MtqA	RXN-21063	EC-2.1.1.389
MONOMER-21759		3-amino-4-hydroxybenzoate synthase // CreH	RXN-13866	EC-4.1.99.20
MGI:1927578-MONOMER		sphingomyelin phosphodiesterase 3, neutral // neutral sphingomyelinase II // neutral sphingomyelinase 2 // nSMase2 // nSMase-2	RXN-15212 // SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	EC-3.1.4.12
MONOMER-13815			RXN-9207	EC-2.1.1
MONOMER-21324			RXN-21742	
HS01533-MONOMER		inositol-trisphosphate 3-kinase C // inositol 1,4,5-trisphosphate 3-kinase C	2.7.1.127-RXN	EC-2.7.1.127
CPLX66-1052		nucleoside diphosphate kinase	RXN-22499 // RXN-14228 // RXN-14120 // NUCLEOSIDE-DIP-KIN-RXN // UDPKIN-RXN // GDPKIN-RXN // DTDPKIN-RXN // DUDPKIN-RXN // CDPKIN-RXN // DGDPKIN-RXN // DADPKIN-RXN // DCDPKIN-RXN	EC-2.7.4.6
HP_RS04400-MONOMER	GO:0051604	hydrogenase/urease maturation factor HypB // HypB	RXN-22957	
XANTHINE-OXIDASE		xanthine oxidase // xanthine oxidoreductase // xanthine dehydrogenase/oxidase	RXN0-901 // XANTHINE-OXIDASE-RXN	EC-1.17.1.4 // EC-1.17.3.2
MONOMER-14334		laccase I	LACCASE-RXN	EC-1.10.3.2
AT1G36160-MONOMER		acetyl-CoA carboxylase 1	ACETYL-COA-CARBOXYLTRANSFER-RXN // BIOTIN-CARBOXYL-RXN // RXN0-5055	EC-6.4.1.2 // EC-6.3.4.14 // EC-2.1.3.15
AT3G61530-MONOMER		ketopantoate hydroxymethyltransferase // KPHMT	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
MONOMER-11402			RXN-7487	EC-1.14.14
MONOMER-15326		aldonolactonase // lactonase	RXN-11152	EC-3.1.1
MONOMER-15881		SalN	RXN-11716	EC-3.1.3
MONOMER-17873		<em>O</em>-acetylhomoserine aminocarboxypropyltransferase // Oah // O-acetyl-homoserine sulfhydrylase	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
MONOMER-18705		biflaviolin synthase	RXN-9933 // RXN-9932	EC-1.14.19.69
CPLX-85497		hydrogen-dependent carbon dioxide reductase // HDCR	RXN-24720	EC-1.17.98.5
G185E-5756-MONOMER	GO:0009102	adenosylmethionine-8-amino-7-oxononanoate aminotransferase // BioA	DAPASYN-RXN	EC-2.6.1.62
MONOMER-16271		Hmt	RXN-11268 // RXN-11267 // RXN-11241	EC-2.1.1.165
FRUCBISALD-CLASSI		fructose-bisphosphate aldolase class I	F16ALDOLASE-RXN	EC-4.1.2.13
GLUTDECARBOXB-CPLX			GLUTDECARBOX-RXN	EC-4.1.1.15
CPLX-9338		(<i>R</i>)-3-(aryl)lactoyl-CoA dehydratase	RXN-19898 // RXN-19896 // RXN-19883	EC-4.2.1.175
CPLX3O-118		pyruvate decarboxylase 1	RXN0-2022 // RXN3O-470 // 4.1.1.80-RXN // PHENYLPYRUVATE-DECARBOXYLASE-RXN // RXN-6161 // BENZOYLFORMATE-DECARBOXYLASE-RXN // RXN-14985 // PYRUVATE-DECARBOXYLASE-RXN // 4.1.1.74-RXN // RXN-7643 // 4.1.1.72-RXN	EC-4.1.1.80 // EC-4.1.1.43 // EC-4.1.1.1 // EC-4.1.1.7 // EC-4.1.1.74 // EC-4.1.1.72
CPLX-8690		alcohol dehydrogenase IV	RXN-13198 // RXN-7694 // ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
MONOMER-14536		2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1	3PGAREARR-RXN	EC-5.4.2.12
HS01349-MONOMER	GO:0008152 // GO:0006631	long-chain acyl-CoA synthetase 5 // LACS 5 // long-chain-fatty-acid--CoA ligase 5	RXN-20651 // RXN-9644 // RXN-9623 // RXN-9673 // ARACHIDONATE--COA-LIGASE-RXN // RXN-16380 // RXN-19960	EC-6.2.1.3 // EC-6.2.1.15
CPLX-7951		hydroxycadaverine succinyl-transferase/bisucaberin synthetase	RXN-10996 // RXN-24287 // RXN-11014 // RXN-11013	EC-2.3.1.M123 // EC-6.3.2.64
HOMOSERKIN-CPLX		homoserine kinase	HOMOSERKIN-RXN // RXN0-6564	EC-2.7.1.39 // EC-2.7.1
MONOMER-17882		farnesyl pyrophosphate synthase // dimethylallyltranstransferase // farnesyl diphosphate synthase	GPPSYN-RXN	EC-2.5.1.1
YOL140W-MONOMER	GO:0008652 // GO:0006592 // GO:0006526 // GO:0006525	acetylornithine transaminase	ACETYLORNTRANSAM-RXN	EC-2.6.1.11
MONOMER-21975		enoyl-CoA hydratase	RXN-2425	EC-4.2.1.17
CPLX0-7722			L-RHAMNONATE-DEHYDRATASE-RXN	EC-4.2.1.90
MONOMER-17579			VICIANIN-BETA-GLUCOSIDASE-RXN	EC-3.2.1.119
CPLX3O-10521		ISU2 [Fe-s} cluster scaffold protein	RXN-14381	
MONOMER-13360		NbaD	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	EC-4.1.1.45
MONOMER-18540		bifunctional L-rhamnulose-phosphate aldolase/L-lactaldehyde dehydrogenase	LACTALDDEHYDROG-RXN // RHAMNULPALDOL-RXN	EC-1.2.1.22 // EC-4.1.2.19
AT1G01120-MONOMER		very-long-chain 3-ketoacyl-CoA synthase // condensing enzyme	RXN-13295 // RXN-13294 // RXN-7697	EC-2.3.1.199
AT3G54690-MONOMER		arabinose-5-phosphate isomerase	DARAB5PISOM-RXN	EC-5.3.1.13
HS06443-MONOMER		cytochrome P450 1B1 // CYPIB1	RXN-11056	EC-1.14.14.1
AT3G14790-MONOMER		trifunctional UDP-glucose 4,6-dehydratase/UDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase/UDP-4-dehydro-L-rhamnose-reductase RHM3	RXN-10740 // RXN-18332 // UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-1.1.1 // EC-5.1.3 // EC-4.2.1.76
G6474-MONOMER	GO:0006508 // GO:0071555 // GO:0009254	peptidoglycan L,D-endopeptidase // YcbK // MepK	RXN0-5407	EC-3.4
MONOMER-18033		phenylpyruvate &beta;-methyltransferase // MppJ	RXN-14468	EC-2.1.1.281
HS06413-MONOMER	GO:0006694	aromatase // cytochrome P450 19A1 // CYPXIX // estrogen synthetase // P-450AROM	RXN66-349 // RXN66-348 // RXN66-347 // RXN66-346 // RXN66-345 // RXN66-344	
G7457-MONOMER	GO:0071555 // GO:0009254 // GO:0000270 // GO:0009253	membrane-bound lytic murein transglycosylase A // YgdM // Mlt // MltA // Mlt38	RXN-17391	EC-4.2.2.29
MONOMER-124721		lydicamycin polyketide synthase 4	RXN-24702 // RXN-24701	
CPLX-7128			1.4.1.11-RXN	EC-1.4.1.11
SYNPCC7942_0578-MONOMER		UDP-sulfoquinovose synthase // SqdB	RXN-1223	EC-3.13.1.1
MONOMER-19974		(poly)ribitol-phosphate teichoic acid &beta;-D-glucosyltransferase // TarQ	RXN-18017	EC-2.4.1.53
MONOMER-452			L-ARABINOKINASE-RXN	EC-2.7.1.46
CPLX-9751		leporin cyclase	RXN-23166	
CPLX-8459		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	RXN-13214	EC-4.1.1.95
CPLX-9569		arylsulfatase A	CEREBROSIDE-SULFATASE-RXN	EC-3.1.6.8
CPLX-6889		glutamate decarboxylase 2	GLUTDECARBOX-RXN	EC-4.1.1.15
MONOMER-4981			RXN-3501	EC-2.1.1.154
MONOMER-18233		5,8-dihydroxy-2-naphthoate synthase // MqnD // 1,4-dihydroxy-6-naphthoate synthase	RXN-10622	EC-4.1.99.29
MONOMER-14875		&alpha;-humulene synthase	RXN-8414 // RXN-8415	EC-4.2.3.57 // EC-4.2.3.104
MONOMER-21453		D-glucosyl-1-phosphoundecaprenol:&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&beta;-D-Man-(1&rarr;3)-GlcNAc-PP-Und &alpha;-(1,3)-glucosyltransferase // WbbG	RXN-22052	EC-2.4.1
CPLX-7137		persulfide dioxygenase // S-sulfanylglutathione dioxygenase	RXN-13161 // FESGSHTHIO-RXN	EC-1.13.11.18
ENSG00000119227-MONOMER	GO:0006506	GPI &alpha;(1,2)-mannosyltransferase 4 // GPI mannosyltransferase IV // GPI-MT-IV // hSMP3 // Phosphatidylinositol-glycan biosynthesis class Z protein // PIG-Z // NP_079439.2	RXN-25493	EC-2.4.1.M93
AT5G13320-MONOMER		isochorismate-9-glutamate synthetase	RXN-10887 // RXN-10884 // RXN-10886 // RXN-10885 // RXN-22683	EC-6.3
MONOMER-16434		cellulase T // CelT // endoglucanase T // Cel9T	RXN-2043	EC-3.2.1.4
MONOMER-16928		2-hydroxyhexa-2,4-dienoate hydratase // TesE	RXN-12734	EC-4.2.1.132
CPLX-8833			4.1.1.83-RXN	EC-4.1.1.83
EF_RS01435-MONOMER		3-hydroxyacyl-[acyl-carrier-protein] dehydratase/isomerase // FabN	5.3.3.14-RXN // RXN-9655	EC-5.3.3.14 // EC-4.2.1.59
MONOMER-18650		flavonoid 8-<i>O</i>-hydroxylase	RXN-15524 // RXN-15522	EC-1.14.99
MONOMER-363		phosphofructokinase // PfkA	6PFRUCTPHOS-RXN	EC-2.7.1.11
MONOMER-22064		6-<i>N</i>-(4'-dehydro-L-glycero-&beta;-D-<I>manno</I>-heptosyl)-adenine 4'-aminotranferase // SepG	RXN-23136	EC-2.6.1
MONOMER-18929		L-leucyldemethyl-blasticidin S guanidino methyltransferase // BlsL	RXN-15936	EC-2.1.1
UDP-NACMURALGLDAPAALIG-MONOMER	GO:0071555 // GO:0051301 // GO:0008360 // GO:0009252	UDP-<i>N</i>-acetylmuramoyl-tripeptide&mdash;D-alanyl-D-alanine ligase // Mra // MurF // D-alanyl-D-alanine-adding enzyme	UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
G185E-6365-MONOMER		MurF	UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
MONOMER-18341		2-methyl-4-hydroxyquinoline farnesyltransferase // AuaA	RXN-15022	EC-2.5.1
MONOMER-21996		L-cysteate decarboxylase	CYSTAUR-RXN	EC-4.1.1.122
MONOMER-16977		C20 &Delta;5-polyunsaturated fatty acyl-CoA elongase // &Delta;5-elongase	RXN-13442	EC-2.3.1
MONOMER-17562			RXN-12976	EC-4.2.3.118
CPLX-545			SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
MONOMER18C3-410		&Delta;5,7-sterol-&Delta;7 reductase 2	RXN66-323	EC-1.3.1.21
MONOMER-16845		pentalenolactone D dioxygenase // PenD	RXN-13751 // RXN-12660 // RXN-12655	EC-1.14.11.36 // EC-1.14.11
BSU07980-MONOMER	GO:0071555 // GO:0030435 // GO:0005975	peptidoglycan <i>N</i>-acetylmuramic acid deacetylase/cyclase // YfjS // PdaA	RXN-24329 // RXN-21073	EC-4.3.3.i
CPLX-8420		MegBII aldo-keo reductase	RXN-12940	EC-1.17.1
MONOMER-11621		maleate <i>cis-trans</i> isomerase	MALEATE-ISOMERASE-RXN	EC-5.2.1.1
MONOMER-21187		protein disulfide reductase CcsX // CcsX // thiol-disulfide oxidoreductase resA // TlpA family protein disulfide reductase	RXN-21403	
CPLX-5161		<i>S</i>-adenosylhomocysteinease	ADENOSYLHOMOCYSTEINASE-RXN	EC-3.13.2.1
MONOMER-13005		galloyltransferase B	RXN-8726	EC-2.3.1
CPLX-5441		10-formyltetrahydrofolate synthetase	FORMATETHFLIG-RXN	EC-6.3.4.3
MONOMER-16682		tRNA (guanine<sup>9</sup>/adenine<sup>9</sup>-<i>N</i><sup>1</sup>)-methyltransferase // tRNA(m1G9/m1A9)-methyltransferase	RXN-12471 // RXN-12459	EC-2.1.1.218 // EC-2.1.1.221
PHENPRODIOLDEHYDROG-MONOMER	GO:0019380	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase // YfhX // PhdD // HcaB	RXN-12071 // PHENPRODIOLDEHYDROG-RXN	EC-1.3.1.87
CPLX-8136		sulfoacetaldehyde dehydrogenase (acylating) // 2-sulfoacetaldehyde:NADP<sup>+</sup> oxidoreductase (CoA-acylating)	RXN-11674	EC-1.2.1.81
MONOMER-124567		anabaenopeptin non-ribosomal peptide synthetase AptB // AptB	RXN-24360 // RXN-24355 // RXN-24335	EC-6.2.1
CPLX-7870		plasmin	3.4.21.7-RXN	EC-3.4.21.7
MONOMER-12009		naringenin chalcone synthase // CHS_H1 // chalcone synthase	RXN-7575 // RXN-21007 // RXN-21008 // NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.M47 // EC-2.3.1.74
YFL018C-MONOMER	GO:0006099 // GO:0006086 // GO:0045454 // GO:0042743 // GO:0006574 // GO:0006564 // GO:0006552 // GO:0006550 // GO:0006546 // GO:0006103 // GO:0006090	dihydrolipoamide dehydrogenase // E3 subunit	RXN0-1132 // RXN-22437 // RXN-7719 // 1.8.1.4-RXN // 2OXOGLUTARATEDEH-RXN // 2OXOGLUTDECARB-RXN // RXN0-1147 // RXN-7716 // GCVMULTI-RXN // GCVP-RXN // GCVT-RXN // RXN-8629	EC-1.8.1.4 // EC-1.2.1.105 // EC-1.2.4.2 // EC-2.3.1.61 // EC-1.4.1.27 // EC-1.4.4.2 // EC-2.1.2.10
MONOMER-16783		3-methylmercaptopropionate-CoA ligase // DmdB	RXN-12571	EC-6.2.1.44
CPLX-1161			PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
CPLX-745		(2<i>S</i>)-2-[(<i>R</i>)-hydroxybenzyl]succinyl-CoA // (<i>E</i>)-2-benzylidenesuccinyl-CoA hydratase	RXN-902	EC-4.2.1.180
MONOMER-21007		trivalent organoarsenical arsenous acid-cleaving enzyme // ArsI // MAs(III) demethylase // methylarsonite demethylase // C-As lyase	RXN-21021 // RXN-22372	EC-1.13.11.M19
G6654-MONOMER	GO:0005975	kojibiose phosphorylase // YcjT	2.4.1.230-RXN	EC-2.4.1.230
MONOMER-15987		AceA	RXN-11791	EC-2.7.8.31
CPLX-8617		deoxyuridine 5'-triphosphate nucleotidohydrolase // dUTP pyrophosphatase	DUTP-PYROP-RXN	EC-3.6.1.23 // EC-3.6.1.9
MONOMER-14194		anthocyanidin reductase	RXN-9725 // RXN-9723 // RXN-9724	EC-1.3.1.77
MONOMER-12889			D-LACTALDEHYDE-DEHYDROGENASE-RXN	EC-1.1.1.78
MONOMER-17712		6-hydroxypseudooxynicotine oxidase	RXN-16529	EC-1.4.98.M1
MONOMER-534		ArcC	CARBAMATE-KINASE-RXN // RXN-14196	EC-2.7.2.2
MONOMER-17595		L-isoleucine-4-hydroxylase // Ido // L-isoleucine dioxygenase	RXN-13638 // RXN-13636 // RXN-13635	EC-1.14.11 // EC-1.14.11.45
MONOMER-124781		(11<i>R</i>,16<i>S</i>,17<i>Z</i>)-16-<i>O</i>-acetyl-4&beta;,20-didemethyl-20-carboxy-11-hydroxy-protosta-17(20),24-dien-3-one 3&alpha;-dehydrogenase	RXN-24850	EC-1.1.1
MONOMER-15142		NokL glycosyltransferase // NokL	RXN-10925 // RXN-10926	
MONOMER-9447		MetX // homoserine acetyltransferase // homoserine transacetylase	HOMOSERINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.31
MONOMER-15602			RXN-11151	EC-1.1.1.365
CPLX-7490		sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)	RXN-13222 // RXN-13030 // 1.1.1.220-RXN // RXN-13223	EC-1.1.1.325 // EC-1.1.1.220
MONOMER-22104			RXN-23183	EC-2.3.1
MONOMER-16848		11&beta;-hydroxy-1-deoxypentalante dehydrogenase // PenF	RXN-12658	EC-1.1.1.340
HS07110-MONOMER		lamin B receptor // Integral nuclear envelope inner membrane protein // LMN2R	RXN66-306 // RXN66-14	EC-1.3.1.70
CPLX-9215		A-factor type &gamma;-butyrolactone 6-reductase (6S-forming)	RXN-18649 // RXN-18643	EC-1.1.1.413
MONOMER3O-70		very-long-chain 3-oxoacyl-CoA synthase	RXN-13296 // RXN-13297 // RXN-13295 // RXN-13294	EC-2.3.1.199
AT4G01690-MONOMER		protoporphyrinogen oxidase // PPOX	PROTOPORGENOXI-RXN	EC-1.3.3.4
MONOMER-16354		CMP-legionaminic acid synthase // LegF	RXN-12239	EC-2.7.7.82
CPLX-6886		4-aminobutyrate aminotransferase, mitochondrial	2.6.1.22-RXN // RXN-2901 // GABATRANSAM-RXN	EC-2.6.1.22 // EC-2.6.1.120 // EC-2.6.1.19
CPLX-101		acetate kinase	ACETATEKIN-RXN	EC-2.7.2.15 // EC-2.7.2.1
CPLX-8665		ADP-glucose pyrophosphorylase	GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
CPLX-8441		3-succinoylsemialdehyde-pyridine dehydrogenase	RXN-13089	EC-1.2.1.83
MONOMER-16549		methylthioadenosine nucleosidase // Pfs // MTAN // 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN // RXN-12346	EC-3.2.2.9 // EC-3.2.2.16 // EC-3.2.2.30
MONOMER-18897		tenellin synthetase // TenS	RXN-15883 // RXN-15885	EC-6.3.2 // EC-2.3.1
MONOMER-3152		PuuF	ALLANTOICASE-RXN	EC-3.5.3.4
MONOMER-15645		Eda // KdgA	KDPGALDOL-RXN	EC-4.1.2.55 // EC-4.1.2.14
MONOMER-12763		XylF	3.7.1.9-RXN	EC-3.7.1.9
MONOMER-19377		4,5-DOPA dioxygenase extradiol	RXN-8460	EC-1.13.11.29
MONOMER-20711		4-aminobenzoate <i>N</i>-oxygenase // NorF	RXN-20202 // RXN-12210 // RXN-12213	EC-1.14.99.68
MONOMER-13798		cinnamyl alcohol dehydrogenase	GERANIOL-DEHYDROGENASE-RXN	EC-1.1.1.183
CPLX-84		photosystem I trimer complex	RXN-24135 // RXN-15479	EC-1.97.1.12
MONOMER-17191		3-isopropylmalate dehydratase	RXN-13163 // RXN-8991 // 3-ISOPROPYLMALISOM-RXN	EC-4.2.1.33
MONOMER-19488		molybdenum donor protein NifQ // NifQ	RXN-17059	
MONOMER-13690		2-amino-4-deoxychorismate synthase // PhzE	RXN-9028	EC-2.6.1.86
MONOMER-124571		3-amino-6-hydroxy-2-piperidone synthase // CpnE	RXN-24372	EC-5.5.1
CPLX-941		lysine--8-amino-7-oxononanoate transaminase	RXN-14930	EC-2.6.1.105
MONOMER-14913		(<i>E</i>)-&beta;-caryophyllene/&beta;-elemene synthase	RXN-8432 // RXN-8415 // RXN-8414	EC-4.2.3 // EC-4.2.3.104 // EC-4.2.3.57
MONOMER-15193			1.6.5.4-RXN	EC-1.6.5.4
MONOMER-17676		phospho<em>enol</em>pyruvate carboxykinase (ATP)	PEPCARBOXYKIN-RXN	EC-4.1.1.49
CPLX-741			PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
EG12318-MONOMER	GO:0010273 // GO:0046688	multicopper oxidase CueO // YacK // CueO // MCO // cuprous oxidase / multicopper oxidase with role in copper homeostasis	RXN0-2945 // RXN0-2943 // RXN0-1483 // RXN-17944	EC-1.16.3.4 // EC-1.16.3.1 // EC-1.10.3.2
MONOMER-20970		D-apionate oxidoisomerase // ApnO	RXN-20933	EC-1.1.1.421
PHETRANTHAUERA-MONOMER		aromatic-amino-acid aminotransferase // Pat	RXN-10814	EC-2.6.1.1 // EC-2.6.1.57 // EC-2.6.1.27
AT1G68760-MONOMER		8-oxo-dGTP pyrophosphohydrolase	RXN-11396 // RXN-11397 // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1.55 // EC-3.6.1.67
CPLX-7349			GLUTAMATESYN-RXN // GLUTAMIN-RXN // RXN-20084	EC-1.4.1.13 // EC-3.5.1.38 // EC-3.5.1.2
CPLX-330		adenosyl-cobyric acid synthase	R345-RXN	EC-6.3.5.10
MONOMER-15902		5-nitroanthranilate aminohydrolase // NaaA // 5-nitroanthranilate deaminase	RXN-11730	EC-3.5.99.8
MONOMER-18923		ArgL	RXN-15933	EC-2.1.1
MONOMER-19120			UDPGLUCEPIM-RXN	EC-5.1.3.2
ENTB-CPLX	GO:0009239	<i>holo</i>-EntB dimer // holo-EntB	ISOCHORMAT-RXN // ENTMULTI-RXN // RXN-19445 // DHBAMPLIG-RXN // RXN0-6442 // ENTF-RXN // RXN-15890 // RXN-15891 // ENTG-RXN	EC-3.3.2.1 // EC-6.3.2.14 // EC-6.2.1.71
CPLX-8327			ARGDECARBOX-RXN	EC-4.1.1.19
CPLX-6954		branched-chain amino acid aminotransferase	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42 // EC-2.6.1.6
MONOMER18C3-422		3&beta;-hydroxysteroid dehydrogenase/&Delta;<sup>5,4</sup> isomerase	RXN-20586 // RXN18C3-239 // RXN18C3-241 // RXN-20588	EC-1.1.1
MONOMER-17222		paromamine glycosyltransferase // KanE	RXN-13164 // RXN-13147 // RXN-13149 // RXN-13145 // RXN-13125 // RXN-13148 // RXN-13124	EC-2.4.1.301
METHYLGLYREDUCT-MONOMER			1.1.1.283-RXN	EC-1.1.1.283
MONOMER-17383		MtmGIV	RXN-13377 // RXN-13375	EC-2.4.1
HS07112-MONOMER	GO:0006805 // GO:0009636	epoxide hydrolase 1 // epoxide hydratase I // microsomal epoxide hydrolase	RXN-18936 // RXN-18935 // RXN-18934 // RXN-18933 // 3.3.2.9-RXN	EC-3.3.2.9 // EC-3.1.1.23
MONOMER-18797		4-(&beta;-D-ribofuranosyl)hydroxybenzene 5'-phosphate--L-aspartate ligase	RXN-15741	EC-6.3.1
MONOMER-21711		UDP-<i>N</i>-acetylglucosamine 3-dehydrogenase // GnnA	RXN-15615	EC-1.1.1.374
CPLX-8398		citrate lyase complex	CITLY-RXN // CITTRANS-RXN // CITRYLY-RXN	EC-4.1.3.6 // EC-2.8.3.10 // EC-4.1.3.34
EG10212-MONOMER	GO:0006508	peptidyl-dipeptidase Dcp // Dcp // dipeptidyl carboxypeptidase II	3.4.15.5-RXN	EC-3.4.15.5
AT5G49190-MONOMER		sucrose synthase	RXN-6222 // SUCROSE-SYNTHASE-RXN	EC-2.4.1.13
CPLX-9177		(2S)-methylsuccinyl-CoA oxidase	RXN-18381	EC-1.3.3.M3
CMPKI-MONOMER	GO:0046940 // GO:0006220 // GO:0006139 // GO:0010165 // GO:0015949	cytidylate kinase // YcaF // YcaG // MssA // Cmk	RXN-11832 // RXN-7913	EC-2.7.4.14 // EC-2.7.4.25 // EC-2.7.4.13
MONOMER0-1241		glutamate&mdash;pyruvate aminotransferase AlaB // AlaB	ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
ENSG00000167363-MONOMER		fructosamine-3-kinase	RXN-12005 // RXN-12006	EC-2.7.1.171 // EC-2.7.1
MONOMER-19927		(<i>R</i>)-mandelonitrile oxidase	RXN-17966	EC-1.1.3.49
MONOMER-6250			RXN-4764	EC-3.2.1.62
MONOMER-124580		cycloastragenol 3-<i>O</i>-glucosyltransferase	RXN-24403 // RXN-24402	EC-2.4.1
MONOMER-16606			RXN-7885 // RXN-12396 // RXN-12395 // RXN-12394	EC-1.13.11.71
CPLX-8925		candicidin polyketide synthase complex	RXN-12161 // RXN-15954	EC-6.2.1 // EC-2.3.1
MONOMER-12480			RXN-2189	
MONOMER-5642		fatty aldehyde dehydrogenase	RXN-16653 // RXN-16654 // RXN66-479 // RXN66-476 // RXN66-472 // LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN // RXN-4142	EC-1.2.1.3 // EC-1.2.1.48
CPLX-9501		3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA dehydrogenase	RXN-12743	EC-1.3.99
CPLX-7701		1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	RXN-9873 // RXN-9874 // 1.3.1.25-RXN	EC-1.3.1 // EC-1.3.1.25
CPLX-9429		nitrous-oxide reductase	RXN-12130	EC-1.7.2.4
MONOMER-13529		vanillin aminotransferase	RXN-8925	EC-2.6.1.119
CPLX-6964		pinosylvin synthase	RXN-7611 // PINOSYLVIN-SYNTHASE-RXN	EC-2.3.1.146
MONOMER-17523			RXN-9194	EC-3.1.1
