S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_218	RXN-14970
S_S2_Bs_063_v1v9_218	RXN-14963
S_S2_Bs_063_v1v9_218	R601-RXN
S_S2_Bs_063_v1v9_219	3.5.1.88-RXN
S_S2_Bs_063_v1v9_219	3.5.1.27-RXN
S_S2_Bs_063_v1v9_220	3.5.1.88-RXN
S_S2_Bs_063_v1v9_220	3.5.1.27-RXN
S_S2_Bs_063_v1v9_221	RXN-14283
S_S2_Bs_063_v1v9_221	RXN-14282
S_S2_Bs_063_v1v9_221	RXN-14350
S_S2_Bs_063_v1v9_221	RXN-15910
S_S2_Bs_063_v1v9_221	RXN0-5183
S_S2_Bs_063_v1v9_221	RXN-14349
S_S2_Bs_063_v1v9_221	MALTODEXGLUCOSID-RXN
S_S2_Bs_063_v1v9_221	RXN-14281
S_S2_Bs_063_v1v9_221	RXN-2141
S_S2_Bs_063_v1v9_222	RXN-14283
S_S2_Bs_063_v1v9_222	RXN-14282
S_S2_Bs_063_v1v9_222	RXN-14350
S_S2_Bs_063_v1v9_222	RXN-15910
S_S2_Bs_063_v1v9_222	RXN0-5183
S_S2_Bs_063_v1v9_222	RXN-14349
S_S2_Bs_063_v1v9_222	MALTODEXGLUCOSID-RXN
S_S2_Bs_063_v1v9_222	RXN-14281
S_S2_Bs_063_v1v9_222	RXN-2141
S_S2_Bs_063_v1v9_223	SUCCCOASYN-RXN
S_S2_Bs_063_v1v9_224	SUCCCOASYN-RXN
S_S2_Bs_063_v1v9_225	RXN-11836
S_S2_Bs_063_v1v9_226	ACETOLACTSYN-RXN
S_S2_Bs_063_v1v9_226	ACETOOHBUTSYN-RXN
S_S2_Bs_063_v1v9_227	ACETOLACTSYN-RXN
S_S2_Bs_063_v1v9_227	ACETOOHBUTSYN-RXN
S_S2_Bs_063_v1v9_228	ACETOLACTSYN-RXN
S_S2_Bs_063_v1v9_228	ACETOOHBUTSYN-RXN
S_S2_Bs_063_v1v9_229	IGPSYN-RXN
S_S2_Bs_063_v1v9_230	ALARACECAT-RXN
S_S2_Bs_063_v1v9_231	ALARACECAT-RXN
S_S2_Bs_063_v1v9_232	3.1.11.6-RXN
S_S2_Bs_063_v1v9_233	3.1.11.6-RXN
S_S2_Bs_063_v1v9_234	RXN0-5266
S_S2_Bs_063_v1v9_235	RXN0-5266
S_S2_Bs_063_v1v9_236	RXN0-5266
S_S2_Bs_063_v1v9_237	RXN0-5266
S_S2_Bs_063_v1v9_238	ALPHA-AMYL-RXN
S_S2_Bs_063_v1v9_238	RXN0-5181
S_S2_Bs_063_v1v9_238	3.2.1.1-RXN
S_S2_Bs_063_v1v9_238	RXN-1823
S_S2_Bs_063_v1v9_239	GLUTAMIN-RXN
S_S2_Bs_063_v1v9_240	GLUTAMIN-RXN
S_S2_Bs_063_v1v9_241	2.1.1.63-RXN
S_S2_Bs_063_v1v9_242	2.5.1.64-RXN
S_S2_Bs_063_v1v9_243	3.4.23.43-RXN
S_S2_Bs_063_v1v9_244	METHIONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_244	RXN-16165
S_S2_Bs_063_v1v9_245	2.4.1.52-RXN
S_S2_Bs_063_v1v9_245	TEICHOICSYN5-RXN
S_S2_Bs_063_v1v9_246	O-SUCCINYLBENZOATE-COA-SYN-RXN
S_S2_Bs_063_v1v9_247	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Bs_063_v1v9_248	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_S2_Bs_063_v1v9_249	DTDPDEHYRHAMREDUCT-RXN
S_S2_Bs_063_v1v9_250	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Bs_063_v1v9_251	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Bs_063_v1v9_252	RXN-12462
S_S2_Bs_063_v1v9_253	RXN-12463
S_S2_Bs_063_v1v9_254	RXN-14065
S_S2_Bs_063_v1v9_255	ADENYLYLSULFKIN-RXN
S_S2_Bs_063_v1v9_256	ADENYLYLSULFKIN-RXN
S_S2_Bs_063_v1v9_257	OROPRIBTRANS-RXN
S_S2_Bs_063_v1v9_258	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Bs_063_v1v9_259	UNDECAPRENYL-DIPHOSPHATASE-RXN
