Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-6568	Glycosaminoglycans-Biosynthesis	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7501	Phosphatidylserine-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8019	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8522	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-5075	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7925	Rubber-Degradation	Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5873	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
GLUCARDEG-PWY	D-Glucarate-Degradation	Aldaric-Acid-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions
PWY-7587	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY1ZNC-1	Assimilatory-Sulfate-Reduction	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-5743	Autotrophic-CO2-Fixation	CO2-Fixation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions
PWY-6083	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-5907	Homospermidine-Biosynthesis	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7337	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5389	S-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8432	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8513	Fluorescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6061	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5373	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-7444	FLAVONE-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-6575	JH-III-Biosynthesis	Hormone-Biosynthesis // SESQUITERPENOID-SYN	HORMONE-SYN // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways
PWY-8341	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-4821	Super-Pathways // UDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis	THINGS // Biosynthesis	 // Pathways
PWY-7415	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5327	LYSINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-5087	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-1001	PRIMARY-CELL-WALL // Polysaccharides-Biosynthesis // SECONDARY-CELL-WALL	PLANT-CELL-STRUCTURE // Carbohydrates-Biosynthesis // Glycan-Pathways	Cell-Structure-Biosynthesis // Biosynthesis // Pathways	Biosynthesis // Pathways // Generalized-Reactions	Pathways // Generalized-Reactions // FRAMES	Generalized-Reactions // FRAMES // THINGS
PWY-2762	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	Toxin-Biosynthesis // PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
NADSYN-PWY	NAD-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism // Pathways	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis // FRAMES	Pathways // Cofactor-Biosynthesis // Biosynthesis // THINGS	Generalized-Reactions // Biosynthesis // Pathways // 
PWY-7929	Halogenated-Aromatics-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY0-1335	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-724	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
ARGSPECAT-PWY	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
P162-PWY	Acetate-Formation // Acetyl-CoA-Butyrate // GLUTAMATE-DEG	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation	Fermentation // Amino-Acid-Degradation	Energy-Metabolism // Degradation	Pathways	Generalized-Reactions
PWY-8111	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-2681	CYTOKININ-BIOSYNTHESIS	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-6000	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-8106	Queuosine-Biosynthesis	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
PWY-8213	Sulfoquinovose-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5326	Sulfite-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-8537	Menaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
P163-PWY	Acetate-Formation // Acetyl-CoA-Butyrate // LYSINE-DEG	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation	Fermentation // Amino-Acid-Degradation	Energy-Metabolism // Degradation	Pathways	Generalized-Reactions
PWY18C3-10	ACYLSUGAR-BIOSYNTHESIS // Metabolic-Clusters	SUGAR-DERIVS // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
MALTOSECAT-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6977	Macrolides-Biosynthesis // Super-Pathways	Antibiotic-Biosynthesis // Pathways	Toxin-Biosynthesis // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-7331	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7996	Menaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7828	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8305	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6481	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7901	GLUCOSINOLATE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7383	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY0-845	Super-Pathways // Vitamin-B6-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
P283-PWY	Hydrogen-Oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
PWY-3101	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-5807	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
HEME-BIOSYNTHESIS-II	Heme-b-Biosynthesis	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
P343-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-4	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7841	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-8163	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6086	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7576	Nitrogen-Fixation	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-5162	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6606	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions
PWY3O-6	Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6754	Methylthioadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8186	PROLINE-DEG // Stickland-Reductive	Proteinogenic-Amino-Acids-Degradation // Amino-Acid-Fermentation	Amino-Acid-Degradation // Fermentation	Degradation // Energy-Metabolism	Pathways	Generalized-Reactions
PWY-882	Ascorbate-Biosynthesis	Carboxylate-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
P344-PWY	Acrylonitrile-Degradation // Super-Pathways	Other-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-6562	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7888	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5534	Alkene-Degradation	Hydrocarbon-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5260	METHANOGENESIS // Sulfur-Metabolism	ANAEROBIC-RESPIRATION // Noncarbon-Nutrients	Respiration // Degradation	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7708	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5472	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-8488	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6458	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
P105-PWY	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-1822	Activation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7143	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-7091	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
P401-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5760	Beta-Alanine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6282	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY2OBG-2	Thioredoxin-Reduction	Reductants	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
CENTBENZCOA-PWY	Benzoyl-CoA-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7547	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7053	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-7465	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY0-1306	Aldonate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8244	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
VALSYN-PWY	VALINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6804	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5336	Carbon-disulfide-degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6105	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
TRPKYNCAT-PWY	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5332	Sulfur-reduction	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY0-44	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
P321-PWY	Benzoyl-CoA-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
CAROTENOID-PWY	C40-Carotenoids-Biosynthesis // Super-Pathways	CAROTENOID-SYN // TETRATERPENOID-SYN // Pathways	Pigment-Biosynthesis // Terpenoid-Biosynthesis // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-6099	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-6886	Alcohol-Biosynthesis // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-6192	Dichlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-6043	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8429	Organic-solutes-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY18C3-1	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8282	B12-Salvage-From-Cobinamide	Cobamide-Salvage	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6234	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7650	LIPOPEPTIDE-BIOSYNTHESIS	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging // Metabolic-Clusters	Macromolecule-Modification // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-6081	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-8427	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7867	CoB-CoM-Reduction	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-7416	PhosphatidylcholineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5328	METHIONINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7267	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7754	Bile-Acids-Degradation	CARBOXYLATES-DEG // Steroids-Degradation	Degradation // Fatty-Acid-and-Lipid-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
ETHYL-PWY	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-6091	Chlorobenzene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
GALACTUROCAT-PWY	D-Galacturonate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways
PWY-6825	PhosphatidylcholineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
GALACTITOLCAT-PWY	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7410	Hormone-Biosynthesis // MONOTERPENOID-SYN	HORMONE-SYN // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY0-1241	ADP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-7957	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5857	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-5338	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-4985	NON-PROTEIN-AMINO-ACID-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5960	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5519	D-Arabinose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6717	Glycan-Pathways // Xylan-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-7442	Pigment-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7431	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7865	CoB-CoM-Reduction	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-7246	Glycan-Pathways // Pectin-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-5022	4-Aminobutyraye-Degradation // Acetyl-CoA-Butyrate	AMINE-DEG // Fermentation-to-Acids	Degradation // Fermentation	Pathways // Energy-Metabolism	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7802	Metabolic-Clusters // Protein-Modification	Pathways // Macromolecule-Modification	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
PWY-6455	Cell-Wall-Biosynthesis // Vancomycin-Resistnace	Cell-Structure-Biosynthesis // Antibiotic-Resistance	Biosynthesis // Detoxification	Pathways	Generalized-Reactions	FRAMES
PWY-5199	Factor-420-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-6771	Rhamnogalacturonan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7344	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-8581	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-8396	Icosanoid-Metabolism	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8136	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-8158	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8024	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6686	Mannosylglucosylglycerate-Biosynthesis	Organic-solutes-Biosynthesis	Metabolic-Regulators	Biosynthesis	Pathways	Generalized-Reactions
PWY-7183	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
IDNCAT-PWY	Aldonate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7049	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-7531	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-2881	CYTOKININ-BIOSYNTHESIS // Glycosylation-Pathways // Metabolic-Clusters	Plant-Hormone-Biosynthesis // Other-biosynthesis // Pathways	Hormone-Biosynthesis // Biosynthesis // Generalized-Reactions	HORMONE-SYN // Pathways // FRAMES	Biosynthesis // Generalized-Reactions // THINGS	Pathways // FRAMES // 
PWY-5776	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8392	D-Arabinitol-Degradation	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
