Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-720	EC-1.14.14.180	PWY-699 // PWY-2582		Chemical Reactions
RXN-12961	EC-1.1.1.324			Small-Molecule Reactions
RXN66-24	EC-1.1.1.270	PWY66-3	zymostenol 3-dehydrogenase	Chemical Reactions
RXN-20988	EC-3.1.4.61			Chemical Reactions
RXN-9317		PWY-5877		Chemical Reactions
RXN-24972		PWY-8557		Chemical Reactions
RXN-15791	EC-5.3.1	PWY-6955		Chemical Reactions
RXN-15069	EC-1.14.13			Chemical Reactions
RXN-11371	EC-2.5.1.108	PWY-6482 // PWY-7546		Chemical Reactions
RXN-25345	EC-3.5.99			Chemical Reactions
RXN-8410		PWY-5370		Chemical Reactions
RXN-21389		RXN-20584		Chemical Reactions
RXN-13788	EC-3.2.1.40	PWY-7134	rutin rhamnosidase	Chemical Reactions
GLUTAMINESYN-RXN	EC-6.3.1.2	ARGSYNBSUB-PWY // PWY-8294 // PWY-8291 // AMMASSIM-PWY // PWY-6963 // PWY-6964 // GLNSYN-PWY		Chemical Reactions
RXN-14950	EC-2.8.1.8	PWY-6987 // PWY0-501-1 // PWY-7382		Chemical Reactions
RXN-22437		PWY-6028 // RXN-9718		Chemical Reactions
RXN-5066		PWY-3022 // RXN-18099		Chemical Reactions
RXN-24647	EC-6.2.1.67	PWY-8527		Chemical Reactions
RXN-12066		PWY-2821 // PWY-7824 // RXN-4602	phenylalanine <em>N</em>-monooxygenase	Chemical Reactions
RXN-12717	EC-1.14.14.12	PWY-6944		Chemical Reactions
RXN-14946	EC-4.2.1.152			Chemical Reactions
RXN2DNV-24	EC-2.4.1	PWY2DNV-5		Chemical Reactions
L-THREONATE-3-DEHYDROGENASE-RXN	EC-1.1.1.129			Chemical Reactions
RXN-7612		PWY-5045		Chemical Reactions
RXN-4161	EC-5.3.3.5	PWY-2541 // PWY-8238		Chemical Reactions
3SC23OSPON-RXN		2ASDEG-PWY		Chemical Reactions
RXN185E-45	EC-2.7.8.40			Chemical Reactions
RXN-13870	EC-2.3.1.5			Chemical Reactions
RXN-23136	EC-2.6.1	PWY-8366		Chemical Reactions
RXN-18417	EC-1.17.98.2			Small-Molecule Reactions
RXN-24857	EC-1.1.3	PWY-7025		Chemical Reactions
RXN8J2-151	EC-2.3.1.M101	PWY8J2-25		Chemical Reactions
RXN-19179	EC-1.14.99.63	PWY-7947		Small-Molecule Reactions
2.4.1.216-RXN	EC-2.4.1.216	PWY-2721		Chemical Reactions
RXN66-161	EC-1.14.14.1	PWY66-221		Chemical Reactions
RXN-24420		RXN-24422 // PWY-8503		Chemical Reactions
RXN-17050		PWY-7713		Small-Molecule Reactions
RXN-24257	EC-3.7.1	RXN-8871		Chemical Reactions
RXN-9177		PWY-5827		Chemical Reactions
RXN-24195	EC-1.14.14	PWY-8476		Chemical Reactions
RXN-22711		ANTHRANSYN-RXN // RXN-22440		Chemical Reactions
GLYCINE-N-ACYLTRANSFERASE-RXN	EC-2.3.1.13			Chemical Reactions
RXN-7569	EC-2.1.1.329	PWY-5027	demethylphylloquinol methyltransferase	Chemical Reactions
RXN-22940		PWY-8344		Chemical Reactions
RXN-9487		PWY-5955		Chemical Reactions
RXN-17458		PWY-7760 // RXN-18417		Chemical Reactions
RXN-8594	EC-4.2.3			Chemical Reactions
RXN-20164		PWY-8186		Chemical Reactions
RXN-17344	EC-1.13.11.39			Chemical Reactions
ADENPRIBOSYLTRAN-RXN	EC-2.4.2.7	PWY-7807 // PWY-7805 // P121-PWY // PWY-6610 // PWY-6605		Chemical Reactions
RXN-21390		RXN-20584		Chemical Reactions
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13.240	PWY-6708		Chemical Reactions
RXN-13988	EC-2.3.1	PWY-7172		Chemical Reactions
DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN	EC-4.1.1.34	PWY-5525		Chemical Reactions
RXN-20292	EC-1.14.15	PWY-8036		Chemical Reactions
RXN-663	EC-1.2.1.29	PWY-741		Chemical Reactions
RXN-14245	EC-1.5.1.34			Chemical Reactions
RXN-24128	EC-3.2.1			Chemical Reactions
RXN-23878	EC-3.2.1.221			Chemical Reactions
RXN-17037	EC-2.3.1	PWY-7711		Chemical Reactions
RXN-2189		RXN-14638 // PWY-1164		Chemical Reactions
RXN-11610	EC-6.3.2	PWY-6574		Chemical Reactions
RXN-8449	EC-2.4.1.159	PWY-5390		Chemical Reactions
RXN-20073	EC-1.14.13.245	PWY-6059		Chemical Reactions
RXN-20024		RXN-20025		Chemical Reactions
RXN-15372	EC-2.3.1	PWY-7464	cyanidin 3,7-diglucoside acyltransferase	Chemical Reactions
RXNQT-4349	EC-2.6.1	PWYQT-4450		Chemical Reactions
DIIODOTYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.24			Chemical Reactions
FUCOKINASE-RXN	EC-2.7.1.52	PWY-6		Chemical Reactions
RXN0-6480	EC-3.1.26.5	PWY0-1479		Chemical Reactions
RXN-25083		PWY-8566		Chemical Reactions
RXN-24841	EC-1.14.14	PWY-8547 // PWY-8546 // PWY-8545		Chemical Reactions
ADENYLYLSULFKIN-RXN	EC-2.7.1.25	PWY1ZNC-1 // PWY-5340		Chemical Reactions
RXN-22438	EC-1.5.1.54	PWY-3841 // CODH-PWY // PWY-8480 // 1CMET2-PWY // PWY-2201		Chemical Reactions
RXN-14047	EC-4.2.1.3			Small-Molecule Reactions
RXN-8265	EC-2.4.1	PWY-5321		Chemical Reactions
RXN-9702	EC-4.1.2.42			Chemical Reactions
RXN1G-285	EC-1.3.1.118	PWYG-321	trans-delta2-cis-delta9-C28:2-[acyl-carrier protein] reductase	Chemical Reactions
RXN-22192	EC-2.4.1	PWY-8237		Chemical Reactions
RXN-19763	EC-3.2.1.M19			Chemical Reactions
RXN-9771		1.4.1.21-RXN		Chemical Reactions
RXN-8444	EC-3.2.2.M4	PWY-5381 // PWY-5316 // PWY-7342		Chemical Reactions
RXN-10137	EC-1.13.11.37	PWY-5488 // PWY-7773 // P343-PWY // PWY-7772 // PWY-7081 // PWY-6200		Small-Molecule Reactions
1.14.13.8-RXN	EC-1.14.13.8			Chemical Reactions
RXN-20629		RXN-20641 // RXN-20642		Chemical Reactions
RIBOPHOSPHAT-RXN	EC-3.1.3.104	PWY-7991 // PWY-6168 // PWY-6167 // RIBOSYN2-PWY		Chemical Reactions
3.1.22.2-RXN	EC-3.1.22.2			Chemical Reactions
RXN-18929		PWY-7919 // RXN-18910		Chemical Reactions
RXN-13293	EC-1.2.1			Chemical Reactions
LEUCINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.66			Chemical Reactions
RXN-19489		PWY-7984		Chemical Reactions
ALPHA-AMINO-ACID-ESTERASE-RXN	EC-3.1.1.43			Chemical Reactions
RXN-21735	EC-2.7.7	PWY-8179		Chemical Reactions
RXN-8715	EC-2.3.1.110	PWY-5474		Chemical Reactions
RXN-8627		PWY-7378		Chemical Reactions
PYRIMSYN3-RXN	EC-2.7.4.7	PWY-7357 // PWY-7282 // PWY-6890 // PWY-7356 // PWY-6910		Chemical Reactions
RXN-13143			2,5-pyridinedicarboxylate synthase	Chemical Reactions
RXN-13473	EC-2.1.1	PWY-7058 // PWY-7186		Chemical Reactions
RXN-14106	EC-5.4.99.3			Chemical Reactions
RXN-25226	EC-3.2.1.31			Chemical Reactions
RXN-10990		PWY-6374		Chemical Reactions
RXN-16809	EC-1.7.2	PWY-7683		Chemical Reactions
RXN-4225	EC-1.14.14.178	PWY-2582		Chemical Reactions
FORMALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.46	PWY-7616 // FORMASS-PWY		Chemical Reactions
RXN-8435	EC-2.4.1	PWY-5379		Chemical Reactions
RXN-3624	EC-2.1.1.212	PWY-2321		Chemical Reactions
RXN-10997		PWY-6375		Chemical Reactions
RXN-18362		PWY-8487 // PWY-6178 // PWY-6093 // PWY-6094 // PCPDEG-PWY // PWY-6084 // 14DICHLORBENZDEG-PWY		Chemical Reactions
RXN-20664	EC-2.3.1	PWY-8058		Chemical Reactions
RXN-12530	EC-3.2.1	PWY-7134 // PWY-6848		Chemical Reactions
RXN-24895		PWY-8548		Chemical Reactions
RXN-16248	EC-3.2.1.40			Chemical Reactions
RXN0-7090	EC-1.14.11.47			Chemical Reactions
RXN-24979	EC-2.7.11.39			Chemical Reactions
RXN-15020	EC-2.7.8.48	PWY-7404		Chemical Reactions
RXN-19306	EC-2.4.2.21	PWY-7968		Chemical Reactions
RXN-12222	EC-1.14.13.130			Chemical Reactions
RXN-19790				Chemical Reactions
RXN-21737	EC-2.8.1	PWY-8179		Chemical Reactions
RXN1F-19	EC-4.2.1.92	PWY-735		Chemical Reactions
RXN-23461		PWY-8395		Chemical Reactions
RXN-14029	EC-2.4.2.1			Chemical Reactions
RXN-24721	EC-2.7.8.48			Chemical Reactions
RXN-21174		RXN-21176		Chemical Reactions
RXN-16754	EC-1.14.13	PWY-7677		Chemical Reactions
RXN-9245	EC-1.1.1.318	PWY-5859		Chemical Reactions
RXN-9074	EC-2.4.1	PWY-5784		Chemical Reactions
3.2.1.114-RXN	EC-3.2.1.114	PWY-7920 // PWY-7426		Chemical Reactions
RXN-16874	EC-6.2.1.69	PWY-7690		Chemical Reactions
RXN-14445	EC-2.3.1	PWY-7261		Chemical Reactions
RXN-16514				Chemical Reactions
RXN-22162	EC-2.4.99.27	PWY-8230		Chemical Reactions
RXN-23445	EC-1.14.99.1	PWY-8396		Small-Molecule Reactions
RXN-8401		PWY-5372		Chemical Reactions
RXN-12564	EC-3.1.1.63		retinyl ester hydrolase	Chemical Reactions
RXN-24892		PWY-8548		Chemical Reactions
RXN-11373		RXN-14326	diphthamide synthase	Chemical Reactions
RXN-10988				Chemical Reactions
RXN-2207				Chemical Reactions
RXN-10112	EC-1.21.99.M3			Chemical Reactions
R146-RXN	EC-1.13.11.53	PWY-5389		Chemical Reactions
RXN-9664	EC-5.4.99.53	PWY-6005		Chemical Reactions
PROLINE-RACEMASE-RXN	EC-5.1.1.4	PWY-8186		Chemical Reactions
RXN-20083		PWY-5921 // 6.3.5.7-RXN		Chemical Reactions
RXN-23753	EC-4.1.1.124	PWY-8438		Chemical Reactions
RXN66-513	EC-1.13.11.34	PWY66-397		Chemical Reactions
RXN197R-54	EC-3.2.1.51			Chemical Reactions
3-OXOACID-COA-TRANSFERASE-RXN	EC-2.8.3.5			Chemical Reactions
RXN-19794	EC-4.2.2.27			Chemical Reactions
RXN-15052	EC-2.4.1	PWY-7412		Chemical Reactions
RXN-8295	EC-1.14.19.35	PWY-782		Chemical Reactions
RXN-12393	EC-1.13.11.70	PWY-6806	<i>all-trans</i>-&beta;-apo-10'-carotenal 13,14-cleaving dioxygenase	Chemical Reactions
RXN-20471	EC-2.1.1	PWY-8047		Chemical Reactions
RXN-7571	EC-2.6.1.58	PWY-5031		Chemical Reactions
RXN-13902	EC-2.4.1	PWY-7157		Chemical Reactions
RXN-16324	EC-2.4.1.226	PWY-6566		Chemical Reactions
RXN-10483	EC-4.2.3.53	PWY-6244		Chemical Reactions
RXN-12602	EC-1.14.14	PWY-6887		Chemical Reactions
RXN-21355				Chemical Reactions
RXN-10893	EC-3.1.1	PWY-6339		Chemical Reactions
RXN-11139		RXN-14630 // PWY-6412		Chemical Reactions
ARGSUCCINSYN-RXN	EC-6.3.4.5	PWY2PN3-13 // ARGSYNBSUB-PWY // PWY-7400 // ARGSYN-PWY // PWY-5154 // PWY-4984 // PWY-4983		Chemical Reactions
RXN-13990	EC-4.1.3.42		L-4-hydroxy-2-oxoglutarate aldolase	Chemical Reactions
3.2.1.98-RXN	EC-3.2.1.98			Chemical Reactions
RXN-14784		PWY-7338		Chemical Reactions
RXN-20901	EC-2.5.1	PWY-8084		Chemical Reactions
FCLREDUCT-RXN		PWY-66 // 1.1.1.271-RXN		Chemical Reactions
RXN-13445	EC-1.3.1.93	PWY-7727 // PWY-7606 // PWY-7053		Chemical Reactions
RXN-13616	EC-4.2.1.74	PWY-8568 // PWY0-1337 // PWY-7094		Chemical Reactions
RXN0-276	EC-1.1.1			Chemical Reactions
FATTY-ACYL-COA-SYNTHASE-RXN	EC-2.3.1.86			Chemical Reactions
RXN-8590	EC-4.2.3			Chemical Reactions
RXN-20969	EC-1.14.14.M45	PWY-6036		Chemical Reactions
RXN-25111	EC-2.3.1.162			Chemical Reactions
RXN-9207	EC-2.1.1	PWY-5846		Chemical Reactions
RXN-1481	EC-1.17.1.3	PWY-6029		Chemical Reactions
1.14.13.93-RXN	EC-1.14.14.eo	PWY-5271		Chemical Reactions
RXN-14416	EC-1.14.19.71	PWY-7525		Chemical Reactions
RXN-15257	EC-1.7.1			Chemical Reactions
RXN-9312	EC-2.1.1.279	PWY-5867 // PWY-5882		Chemical Reactions
RXN-16557	EC-1.3.8.9	PWY-7656		Chemical Reactions
RXN-20319		PWY-8039		Unknown Conversions
RXN-14782	EC-3.5.3	PWY-7332	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine amidotransferase	Chemical Reactions
RXN-15016	EC-3.5.1	PWY-7403		Chemical Reactions
RXN-11006	EC-1.14.13.252	PWY-8558 // PWY-8484 // PWY-6379 // PWY-6378		Chemical Reactions
RXN-13305	EC-4.2.1.134	PWY-7036		Chemical Reactions
TSA-REDUCT-RXN	EC-1.1.1.60	GLYCOLATEMET-PWY // GLUCARDEG-PWY // GALACTARDEG-PWY		Chemical Reactions
3.4.21.38-RXN	EC-3.4.21.38	PWY66-432		Chemical Reactions
RXN-13828	EC-1.14.14	PWY-7507		Chemical Reactions
ADCLY-RXN	EC-4.1.3.38	PWY-8276 // PWY-6543		Chemical Reactions
RXN-20215	EC-2.8.2.15			Chemical Reactions
RXN-16013		PWY-6048 // RXN-12573		Chemical Reactions
RXN-17215	EC-2.3.1.292	PWY-7742		Chemical Reactions
RXN-18973	EC-3.1.7.12			Chemical Reactions
RXN0-5121	EC-2.7.1.235			Chemical Reactions
RXN-22768	EC-1.14.14	PWY-8327		Small-Molecule Reactions
RXN-15757	EC-5.4.99			Chemical Reactions
RXN-22899	EC-2.3.1			Chemical Reactions
RXN-21744		PWY-8179		Chemical Reactions
1.1.1.201-RXN	EC-1.1.1.201			Chemical Reactions
RXN-8411	EC-1.14.19.14	PWY-5373		Chemical Reactions
RXN-15291	EC-3.2.1.31	PWY-7445	luteolin monoglucuronide &beta;-glucuronidase	Chemical Reactions
RXN-2581	EC-1.14.14.96	PWY-6039 // PWY-8157 // PWY-361 // PWY-6320		Chemical Reactions
CYTOCHROME-C3-HYDROGENASE-RXN	EC-1.12.2.1	PWY-8377		Chemical Reactions
RXN-19985	EC-1.14.19.80	PWY-8216 // PWY-8520 // PWY-5292 // RXN-24464		Chemical Reactions
RXN-8957	EC-1.3.1.85	PWY-8425 // PWY-7854 // PWY-5741		Chemical Reactions
RXN-18177	EC-4.4.1.M2			Chemical Reactions
ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.103			Chemical Reactions
RXN-16600	EC-2.4.1	PWY-7661		Chemical Reactions
RXN-10139	EC-2.6.1.99	PWY-7770 // PWYDQC-4		Chemical Reactions
FLAVONOL-3-O-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.91			Chemical Reactions
RXN-24893		PWY-8548		Chemical Reactions
GLYCEROL-3-PHOSPHATE-OXIDASE-RXN	EC-1.1.3.21	PWY-8508		Chemical Reactions
RXN-5962	EC-1.14.14.158	PWY-5947		Chemical Reactions
BADEL6OXRED-RXN	EC-1.3.1.114			Chemical Reactions
RXN-20397	EC-1.14.18.5	SPHINGOLIPID-SYN-PWY		Chemical Reactions
RXN-13095		PWY-6997		Chemical Reactions
RXN-9915	EC-5.4.99.34	PWY-7251 // PWY-6109		Chemical Reactions
RXN0-7438		RXN0-7439		Chemical Reactions
RXN-9148	EC-2.4.1.338	PWY-5818		Chemical Reactions
RXN2B4Q-42	EC-2.4.1	PWY2B4Q-3		Chemical Reactions
RXN-13031	EC-3.5.1.138	PWY-6984		Chemical Reactions
RXN-8841	EC-4.1.1.77	PWY-5644		Chemical Reactions
R226-RXN		P241-PWY		Chemical Reactions
RXN-22858	EC-1.1.99.M2			Chemical Reactions
4.3.1.4-RXN	EC-4.3.1.4	PWY-5497 // P164-PWY // PWY-5030		Chemical Reactions
RXN-24498		PWY-8514		Chemical Reactions
RXN-20995	EC-1.3.1.34			Chemical Reactions
RXN-24919	EC-1.97.1.15			Chemical Reactions
RXN-9315	EC-2.1.1.337	PWY-5876		Chemical Reactions
RXN-25295		PWY-8582		Chemical Reactions
1.2.1.66-RXN	EC-1.1.1.306	PWY1G-170		Chemical Reactions
RXN-19397	EC-2.7.1.183	PWY-7979		Chemical Reactions
RXN0-745	EC-1.1.98.6	PWY-7220		Chemical Reactions
RXN-25446				Chemical Reactions
1.7.2.2-RXN	EC-1.7.2.2	PWY-5674		Chemical Reactions
RXN-12402	EC-3.2.1.177	PWY-6807		Chemical Reactions
RXN-8785	EC-4.2.1.165	PWY-5526		Chemical Reactions
H2NTPEPIM-RXN	EC-5.1.99.7	PWY0-1433		Chemical Reactions
R186-RXN				Chemical Reactions
RXN0-6565	EC-1.3.1.1			Chemical Reactions
HYALURONATE-LYASE-RXN	EC-4.2.2.1	PWY-7645		Chemical Reactions
RXN8J2-176		PWY-8489		Chemical Reactions
RXN-8133	EC-2.1.1.253	PWY-5261		Chemical Reactions
RXN-24384	EC-2.3.1	PWY-8498		Chemical Reactions
RXN-11133	EC-3.2.1.193	PWY-6411 // RXN-14617 // RXN-14599		Chemical Reactions
RXN-22539	EC-2.1.1.381	PWY-8298		Chemical Reactions
RXN-24487	EC-3.13.2.4			Small-Molecule Reactions
RXN66-635	EC-2.3.1.85 // EC-2.3.1.86	PWY-5994		Chemical Reactions
RXN185E-12	EC-6.2.1	PWY185E-1		Chemical Reactions
1.13.11.10-RXN	EC-1.13.11.10	PWY-6309		Chemical Reactions
RXN-11660	EC-2.4.1	PWY-7468		Chemical Reactions
RXN-15284	EC-6.1.2.2			Small-Molecule Reactions
RXN-19326	EC-3.1.3.73	PWY-7970		Chemical Reactions
RXN-20949	EC-3.2.1.211			Chemical Reactions
RXN1G-508	EC-2.3.1.86	PWYG-321	3-oxo-lignoceroyl-[acyl-carrier protein] reductase	Chemical Reactions
RXN66-28	EC-1.3.1.72	PWY-8239 // PWY66-4 // PWY-8191		Chemical Reactions
RXN-7983	EC-1.14.11.25	PWY-5925		Chemical Reactions
RXN-24290	EC-1.14.13.167	PWY-8487		Chemical Reactions
RXN-17527		RXN-10830		Chemical Reactions
RXN-19983	EC-1.1.1.439	PWY-5292		Chemical Reactions
RXN-12805	EC-2.1.1.240			Small-Molecule Reactions
RXN-16866		PWY-7689		Small-Molecule Reactions
5.4.1.2-RXN	EC-5.4.99.61	PWY-7376		Chemical Reactions
3.6.1.44-RXN	EC-3.6.1.44			Chemical Reactions
2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN	EC-2.6.1.67			Chemical Reactions
RXN-20264		PWY-8035		Chemical Reactions
RXNQT-4330	EC-2.8.2.38	PWYQT-4472		Chemical Reactions
UDPKIN-RXN	EC-2.7.4.6	PWY-7176		Chemical Reactions
RXN-14391	EC-3.6.4	PWY-7250		Chemical Reactions
RXN-16160	EC-4.2.1	PWY-7613 // PWY-7610	GDP-<i>manno</i>-heptose 4,6-dehydratase	Chemical Reactions
RXNQT-4319	EC-4.4.1.13	PWYQT-4471		Chemical Reactions
RXN-23141		PWY-8367		Chemical Reactions
RXN-13487	EC-1.14.14.183	PWY-7065	taxoid 7&beta;,2&alpha;-hydroxylase	Chemical Reactions
RXN-20673		3-DEHYDROQUINATE-SYNTHASE-RXN		Chemical Reactions
RXN-19263		RXN-19271 // PWY-7955		Chemical Reactions
RXN-10657	EC-1.3.1.9	PWY-6282		Chemical Reactions
RXN-12977	EC-2.4.1.281	PWY-7456		Chemical Reactions
HYDROXYPHYTANATE-OXIDASE-RXN	EC-1.1.3.27			Chemical Reactions
RXN-11751	EC-3.5.2.19			Chemical Reactions
RXN-19582		RXN-18212		Chemical Reactions
RXN-15889	EC-2.7.8.7	ENTBACSYN-PWY		Chemical Reactions
RXN-22276				Chemical Reactions
RXN-11965	EC-1.14.13.166	PWY-5488		Chemical Reactions
RXN-4229	EC-1.3.1.22	PWY-2582		Chemical Reactions
RXN-16621	EC-2.3.1.179 // EC-2.3.1.41	PWY-7664		Chemical Reactions
RXN-16046	EC-1.14.19.25	PWY-5997		Chemical Reactions
RXN-23096		PWY-8361		Chemical Reactions
1.8.98.1-RXN	EC-1.8.98.1	PWY-5207		Chemical Reactions
RXN-13371	EC-3.1.1.91	PWY-7044		Chemical Reactions
RXN-21782	EC-1.1.1.178	PWY-8181		Chemical Reactions
RXN0-6994	EC-3.2.1.86			Chemical Reactions
RXN-21256	EC-2.4.1.M64	PWY-8122		Chemical Reactions
RXN185E-52	EC-2.4.1	PWY185E-6		Chemical Reactions
RXN-24393		RXN-24241 // RXN-24218 // RXN-24388 // RXN-24396 // RXN-24387 // PWY-8499 // RXN-24390		Chemical Reactions
RXN-18048	EC-2.7.8	PWY-7818		Chemical Reactions
RXN3O-9872	EC-2.3.1			Chemical Reactions
RXN-13177	EC-3.5.1.113	PWY-7016		Chemical Reactions
RXN-25288	EC-1.1.1	PWY-8581		Chemical Reactions
N-ACETYLGLUCOSAMINE-DEACETYLASE-RXN	EC-3.5.1.33	PWY-6855		Chemical Reactions
RXN-19588	EC-3.4.13.23	PWYQT-4471		Chemical Reactions
RXN-15127	EC-3.5.99.10	RXN-25326 // LCYSDEG-PWY // PWY0-1535 // PWY-5497 // PWY-8431 // MIMOSINASE-RXN // PWY-8325 // PWY-3661 // PWY-8001 // PWY-4061 // RXN-19583 // RXN-18212 // RXN-19562 // RXN-19560 // RXN-19558 // RXN-19556 // RXN-19554 // RXN-19552 // RXN-19550 // RXN-19547 // RXN-19544 // PWY-702 // DCYSDESULF-RXN // CYSTATHIONINE-BETA-LYASE-RXN // 3-CHLORO-D-ALANINE-DEHYDROCHLORINASE-RXN // 4.4.1.25-RXN // RXN-6763 // DSERDEAM-RXN // CARBAMOYL-SERINE-AMMONIA-LYASE-RXN // TYROSINE-PHENOL-LYASE-RXN // TRYPDEG-PWY // TRYPTOPHAN-RXN // S-ALKYLCYSTEINE-LYASE-RXN // RXN-12729 // LCYSDESULF-RXN // CYSTHIOCYS-RXN // SERDEG-PWY // 4.3.1.17-RXN		Chemical Reactions
RXN-21295	EC-2.7.7.77	PWY-8168		Chemical Reactions
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8	PWY-6610 // PWY-6609		Chemical Reactions
RXN-8623	EC-1.10.3	PWY-5439		Chemical Reactions
RXN-1406	EC-1.5.99	PWY-581		Chemical Reactions
RXN66-499	EC-1.13.11.34	PWY-8400 // PWY66-395		Chemical Reactions
RXN-25638				Chemical Reactions
RXN-24280	EC-1.17.3.5	PWY-8486		Chemical Reactions
RXN-15954	EC-2.3.1	PWY-6722		Chemical Reactions
RXN-14415	EC-1.14.19.71	PWY-7525		Chemical Reactions
RXN-16770				Chemical Reactions
RXN-21648	EC-1.3.1.104 // EC-1.3.1.10	PWY-8525 // PWY-8174		Chemical Reactions
RXN-14622	EC-3.2.1.z			Chemical Reactions
PORPHOBILSYNTH-RXN	EC-4.2.1.24	PWY-5189 // PWY-5188		Chemical Reactions
RXN-16336	EC-2.1.1.317			Chemical Reactions
FORMYL-COA-HYDROLASE-RXN	EC-3.1.2.10	PWY66-387 // PWY66-388 // PWY-7985 // PWY-6696		Chemical Reactions
RXN-21292	EC-1.1.1.294			Chemical Reactions
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26	PWY-7295 // PWY-7294		Chemical Reactions
RXN-13454	EC-2.4.1	PWY-7055	daphnin transglucosylase (8-<i>O</i>-glucosyltransferase activity)	Chemical Reactions
RXN-11126	EC-6.3.2	PWY-6409		Chemical Reactions
RXN-15055	EC-2.3.1	PWY-7412		Chemical Reactions
RXN-22784		RXN-22783		Chemical Reactions
RXN-24518		PWY-8517		Chemical Reactions
RXN-16204		PWY-7700 // 1.17.99.1-RXN		Chemical Reactions
RXN-16130	EC-4.2.1.134	PWY-7606		Chemical Reactions
RXN-1541	EC-1.14.14.87	PWY-2083		Chemical Reactions
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6	PWY-7801		Macromolecule Reactions
RXN-18869		PWY-7915		Chemical Reactions
RXN-24774	EC-4.2.1.119	PWY-8542		Chemical Reactions
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5	TYRFUMCAT-PWY		Chemical Reactions
RXN-21205	EC-2.1.1	PWY-8379 // PWY-6955		Chemical Reactions
RXN-13301	EC-1.1.1.330	PWY-7036		Chemical Reactions
RXN-12061		CAMALEXIN-SYN // PWY-8024 // PWY-581 // PWY-601 // RXN-1402		Chemical Reactions
RXN-21091	EC-2.7.7.106	PWY-8113		Chemical Reactions
RXN-11626	EC-2.7.4.32	PWY-6577		Chemical Reactions
RXN-1123				Chemical Reactions
RXN-17231	EC-1.1.1.M10	PWY-7741		Chemical Reactions
RXN-15371	EC-2.4.1	PWY-7463	N-methylanthranilate glucosyltransferase	Chemical Reactions
RXN-22593	EC-4.2.1.114			Small-Molecule Reactions
RXN-12597	EC-1.14.14	PWY-6887		Chemical Reactions
RXN-24652		PWY-8529		Chemical Reactions
PROPIONATE-COA-TRANSFERASE-RXN	EC-2.8.3.1	PWY-5109 // PWY-5494		Chemical Reactions
4.2.2.11-RXN	EC-4.2.2.11	PWY-6986		Chemical Reactions
CARBPSYN-RXN	EC-6.3.5.5	PWY2PN3-13 // ARGSYNBSUB-PWY // PWY-7790 // PWY-7400 // ARGSYN-PWY // PWY-7791 // PWY-5686 // PWY-5154		Small-Molecule Reactions
RXN-9056		PWY-6427		Chemical Reactions
ACETOINDEHYDROG-A-RXN	EC-1.1.1		acetoin:NADP+ oxidoreductase	Chemical Reactions
RXN0-6973	EC-1.14.14.5			Chemical Reactions
RXN-20766	EC-1.16.1.10			Small-Molecule Reactions
RXN-20451	EC-2.3.1	PWY-8045		Chemical Reactions
RXN-25385	EC-2.3.1		peptidyl-lysine N-lactoyltransferase	Chemical Reactions
RXN18C3-22	EC-1.14.13	PWY18C3-7		Chemical Reactions
ARYL-ALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.29			Chemical Reactions
RXN-23520	EC-3.1.1.4	PWY-8397		Chemical Reactions
RXN-14674		PWY-7300		Small-Molecule Reactions
RXN-7301	EC-3.1.3.62	PWY-4781		Chemical Reactions
RXN-10246	EC-4.1.1.77	PWY-5645		Chemical Reactions
RXN-18332	EC-5.1.3	PWY-3261 // RXN-5482 // RXN-5481		Chemical Reactions
RXN66-496	EC-3.3.2.6	PWY-8399 // PWY66-394		Chemical Reactions
RXN-15256	EC-1.7.1			Chemical Reactions
RXN-18979	EC-4.2.3.188			Chemical Reactions
RXN-24807	EC-3.1.3.M19			Chemical Reactions
RXN2DDB-20	EC-4.2.1.53	PWY2DDB-9		Chemical Reactions
RXN-7142	EC-2.5.1	PWY-4502		Chemical Reactions
RXN-12652	EC-1.14.15	PWY-6919 // PWY-6915		Chemical Reactions
RXN-10704	EC-4.2.1	PWY-735		Chemical Reactions
RXN-12851		PWY-6955	demethyllincomycin synthase	Chemical Reactions
RXN-16148	EC-1.14.18.4	PWY-6433		Chemical Reactions
RXN-22545		PWY-8300		Chemical Reactions
RXN-10005	EC-4.2.3.40			Chemical Reactions
RXN-20420	EC-1.3.1.M23	PWY-8044		Chemical Reactions
RXN-14797	EC-4.2.1.119	PWY-7340		Chemical Reactions
RXN-23416		PWY-8397		Chemical Reactions
