ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S2_Pd_083_v1v9_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_S2_Ef_078_default_parsed_report.tsv	499	499	372	367	132	18	7	15	10	0	1	143	245	88	21	494	246
S_S2_Hf_081_default_parsed_report.tsv	228	228	111	162	66	7	2	13	3	0	0	61	135	44	9	225	107
S_NS6_He_053_v1v9_default_parsed_report.tsv	376	376	253	275	101	15	4	14	5	0	1	97	205	62	15	373	196
S_NS1_Pm_023_v1v9_default_parsed_report.tsv	386	386	272	270	116	19	5	11	7	0	1	91	205	71	17	382	205
S_S5_Pd_110_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_NS6_Bs_033_v1v9_default_parsed_report.tsv	366	366	259	258	108	19	5	11	5	0	1	78	199	66	17	362	204
S_NS1_Fp_020_default_parsed_report.tsv	362	362	239	258	104	10	3	13	5	0	1	100	199	68	15	359	175
S_S5_Rg_113_v1v9_default_parsed_report.tsv	345	345	225	248	97	10	2	12	6	0	0	87	203	56	14	342	184
S_NS1_Ss_026_v1v9_default_parsed_report.tsv	324	324	198	229	95	11	4	14	5	0	1	73	180	47	16	321	180
S_NS6_Sh_058_v1v9_default_parsed_report.tsv	387	387	256	267	120	7	7	16	7	0	1	99	197	68	20	384	196
S_NS1_Bs_004_v1v9_default_parsed_report.tsv	364	364	259	256	108	18	5	11	5	0	1	76	199	66	16	360	204
S_S2_Et_074_v1v9_default_parsed_report.tsv	405	405	275	295	110	17	4	15	7	0	1	117	220	68	18	402	199
S_NS1_Em_017_v1v9_default_parsed_report.tsv	512	512	385	378	134	18	7	15	9	0	1	157	246	88	21	507	246
S_NS6_Pd_055_v1v9_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_NS6_Et_048_default_parsed_report.tsv	405	405	274	295	110	17	4	15	7	0	1	117	221	68	18	402	199
S_S5_Rf_112_v1v9_default_parsed_report.tsv	338	338	218	252	86	14	3	14	4	0	0	84	204	52	13	335	182
S_S5_Et_102_default_parsed_report.tsv	403	403	271	292	111	22	4	15	6	0	1	117	219	67	18	399	198
S_S5_Fp_106_v1v9_default_parsed_report.tsv	365	365	243	261	104	10	3	13	5	0	1	103	200	68	15	362	175
S_NS1_Bs_004_default_parsed_report.tsv	364	364	259	256	108	18	5	11	5	0	1	76	199	66	16	360	204
S_NS6_Em_047_v1v9_default_parsed_report.tsv	386	386	254	281	105	22	4	16	7	0	1	95	209	70	18	383	200
S_NS6_Pd_055_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_NS1_He_021_default_parsed_report.tsv	376	376	254	273	103	15	5	13	5	0	1	103	203	63	15	373	189
S_NS1_Fp_020_v1v9_default_parsed_report.tsv	362	362	239	258	104	10	3	13	5	0	1	100	199	68	15	359	175
S_NS6_He_053_default_parsed_report.tsv	376	376	253	275	101	15	4	14	5	0	1	97	205	62	15	373	196
S_S2_Rf_118_v1v9_default_parsed_report.tsv	339	339	217	246	93	10	6	12	4	0	0	86	197	58	12	336	177
S_NS1_Em_017_default_parsed_report.tsv	512	512	385	378	134	18	7	15	9	0	1	157	246	88	21	507	246
S_S5_Em_101_default_parsed_report.tsv	395	395	261	284	111	17	4	16	7	0	1	98	212	78	18	392	198
S_S5_Et_102_v1v9_default_parsed_report.tsv	403	403	271	292	111	22	4	15	6	0	1	117	219	67	18	399	198
S_NS1_Bp_010_default_parsed_report.tsv	326	326	186	232	94	14	3	13	3	0	0	74	181	63	14	323	170
S_S5_Ca_088_v1v9_default_parsed_report.tsv	294	294	183	206	88	7	2	13	3	0	0	71	170	50	12	291	159
S_NS6_Af_030_v1v9_default_parsed_report.tsv	327	327	211	223	104	13	3	12	5	0	1	61	184	54	15	323	194
S_S5_Bp_095_default_parsed_report.tsv	326	326	186	232	94	14	3	13	3	0	0	74	181	63	14	323	170
S_S2_Ea_077_v1v9_default_parsed_report.tsv	377	377	247	273	104	12	4	15	6	0	0	103	206	62	19	373	190
S_NS6_Am_029_v1v9_default_parsed_report.tsv	329	329	214	229	100	13	4	14	3	0	0	54	188	64	16	325	191
S_S2_Ca_088_v1v9_default_parsed_report.tsv	294	294	183	206	88	7	2	13	3	0	0	71	170	50	12	291	159
S_NS6_Ca_028_default_parsed_report.tsv	299	299	181	209	90	7	3	13	2	0	0	71	175	50	12	296	165
S_S5_Cc_098_default_parsed_report.tsv	398	398	258	291	107	11	4	14	4	0	0	111	219	76	16	395	193
S_S5_Af_090_default_parsed_report.tsv	327	327	212	223	104	13	3	12	5	0	1	61	184	54	15	323	194
S_NS6_Bs_032_default_parsed_report.tsv	366	366	259	258	108	19	5	11	5	0	1	78	199	66	17	362	204
S_NS1_He_021_v1v9_default_parsed_report.tsv	376	376	254	273	103	15	5	13	5	0	1	103	203	63	15	373	189
S_NS6_Pp_057_v1v9_default_parsed_report.tsv	313	313	207	220	93	7	3	13	4	0	1	71	178	55	12	310	167
